date,ticker,name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,035720,카카오,5910512880994.0,587884339202.0,1640484195406.0,9.95,67.92,1306571526446.0,0.0,45.17,30.49
2023-02-01,035720,카카오,5910512880994.0,587884339202.0,1640484195406.0,9.95,67.92,1306571526446.0,0.0,45.17,30.49
2023-03-02,035720,카카오,5910512880994.0,587884339202.0,1640484195406.0,9.95,67.92,1306571526446.0,0.0,45.17,30.49
2023-04-03,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-05-02,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-06-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-07-03,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-08-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-09-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-10-04,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-11-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2023-12-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2024-01-02,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2024-02-01,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2024-03-04,035720,카카오,6799047881222.0,569355650551.0,1066994242805.0,8.37,69.9,678376491408.0,0.1,15.03,-3.15
2024-04-01,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-05-02,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-06-03,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-07-01,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-08-01,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-09-02,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-10-02,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-11-01,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2024-12-02,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2025-01-02,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2025-02-03,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2025-03-04,035720,카카오,7557001757272.0,460857845673.0,-1816669011014.0,6.1,81.69,1341098333644.0,0.1,11.15,-19.06
2025-04-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-05-02,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-06-02,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-07-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-08-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-09-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-10-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-11-03,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
2025-12-01,035720,카카오,7871692199887.0,460212161525.0,-161870567171.0,5.85,84.85,1250459006332.0,0.2,4.16,-0.14
