date,ticker,name,fiscal_period,report_name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,373220,LG에너지솔루션,2022 3분기,분기보고서,7648157000000.0,521853000000.0,187710000000.0,6.82,88.48,-1427127000000.0,,89.9,240.0
2023-02-01,373220,LG에너지솔루션,2022 3분기,분기보고서,7648157000000.0,521853000000.0,187710000000.0,6.82,88.48,-1427127000000.0,,89.9,240.0
2023-03-02,373220,LG에너지솔루션,2022 3분기,분기보고서,7648157000000.0,521853000000.0,187710000000.0,6.82,88.48,-1427127000000.0,,89.9,240.0
2023-04-03,373220,LG에너지솔루션,2022 연간,사업보고서,25598609000000.0,1213719000000.0,779826000000.0,4.74,85.98,-579807000000.0,,43.39,57.94
2023-05-02,373220,LG에너지솔루션,2022 연간,사업보고서,25598609000000.0,1213719000000.0,779826000000.0,4.74,85.98,-579807000000.0,,43.39,57.94
2023-06-01,373220,LG에너지솔루션,2023 1분기,분기보고서,8747117000000.0,633166000000.0,561986000000.0,7.24,84.66,780880000000.0,,101.44,144.6
2023-07-03,373220,LG에너지솔루션,2023 1분기,분기보고서,8747117000000.0,633166000000.0,561986000000.0,7.24,84.66,780880000000.0,,101.44,144.6
2023-08-01,373220,LG에너지솔루션,2023 1분기,분기보고서,8747117000000.0,633166000000.0,561986000000.0,7.24,84.66,780880000000.0,,101.44,144.6
2023-09-01,373220,LG에너지솔루션,2023 2분기,반기보고서,8773487000000.0,460599000000.0,465141000000.0,5.25,83.3,1296430000000.0,,73.03,135.47
2023-10-04,373220,LG에너지솔루션,2023 2분기,반기보고서,8773487000000.0,460599000000.0,465141000000.0,5.25,83.3,1296430000000.0,,73.03,135.47
2023-11-01,373220,LG에너지솔루션,2023 2분기,반기보고서,8773487000000.0,460599000000.0,465141000000.0,5.25,83.3,1296430000000.0,,73.03,135.47
2023-12-01,373220,LG에너지솔루션,2023 3분기,분기보고서,8223542000000.0,731249000000.0,420531000000.0,8.89,83.11,1772162000000.0,,7.52,40.13
2024-01-02,373220,LG에너지솔루션,2023 3분기,분기보고서,8223542000000.0,731249000000.0,420531000000.0,8.89,83.11,1772162000000.0,,7.52,40.13
2024-02-01,373220,LG에너지솔루션,2023 3분기,분기보고서,8223542000000.0,731249000000.0,420531000000.0,8.89,83.11,1772162000000.0,,7.52,40.13
2024-03-04,373220,LG에너지솔루션,2023 3분기,분기보고서,8223542000000.0,731249000000.0,420531000000.0,8.89,83.11,1772162000000.0,,7.52,40.13
2024-04-01,373220,LG에너지솔루션,2023 연간,사업보고서,33745470000000.0,2163234000000.0,1637985000000.0,6.41,86.42,4444179000000.0,,31.83,78.23
2024-05-02,373220,LG에너지솔루션,2023 연간,사업보고서,33745470000000.0,2163234000000.0,1637985000000.0,6.41,86.42,4444179000000.0,,31.83,78.23
2024-06-03,373220,LG에너지솔루션,2024 1분기,분기보고서,6128714000000.0,157337000000.0,212052000000.0,2.57,84.52,531069000000.0,,-29.93,-75.15
2024-07-01,373220,LG에너지솔루션,2024 1분기,분기보고서,6128714000000.0,157337000000.0,212052000000.0,2.57,84.52,531069000000.0,,-29.93,-75.15
2024-08-01,373220,LG에너지솔루션,2024 1분기,분기보고서,6128714000000.0,157337000000.0,212052000000.0,2.57,84.52,531069000000.0,,-29.93,-75.15
2024-09-02,373220,LG에너지솔루션,2024 2분기,반기보고서,6161866000000.0,195319000000.0,-23740000000.0,3.17,86.38,1367016000000.0,,-29.77,-57.59
2024-10-02,373220,LG에너지솔루션,2024 2분기,반기보고서,6161866000000.0,195319000000.0,-23740000000.0,3.17,86.38,1367016000000.0,,-29.77,-57.59
2024-11-01,373220,LG에너지솔루션,2024 2분기,반기보고서,6161866000000.0,195319000000.0,-23740000000.0,3.17,86.38,1367016000000.0,,-29.77,-57.59
2024-12-02,373220,LG에너지솔루션,2024 3분기,분기보고서,6877843000000.0,448259000000.0,561307000000.0,6.52,98.71,1929383000000.0,,-16.36,-38.7
2025-01-02,373220,LG에너지솔루션,2024 3분기,분기보고서,6877843000000.0,448259000000.0,561307000000.0,6.52,98.71,1929383000000.0,,-16.36,-38.7
2025-02-03,373220,LG에너지솔루션,2024 3분기,분기보고서,6877843000000.0,448259000000.0,561307000000.0,6.52,98.71,1929383000000.0,,-16.36,-38.7
2025-03-04,373220,LG에너지솔루션,2024 3분기,분기보고서,6877843000000.0,448259000000.0,561307000000.0,6.52,98.71,1929383000000.0,,-16.36,-38.7
2025-04-01,373220,LG에너지솔루션,2024 연간,사업보고서,25619585000000.0,575387000000.0,338602000000.0,2.25,94.75,5111700000000.0,,-24.08,-73.4
2025-05-02,373220,LG에너지솔루션,2024 연간,사업보고서,25619585000000.0,575387000000.0,338602000000.0,2.25,94.75,5111700000000.0,,-24.08,-73.4
2025-06-02,373220,LG에너지솔루션,2025 1분기,분기보고서,6264995000000.0,374673000000.0,226573000000.0,5.98,99.23,1162033000000.0,,2.22,138.13
2025-07-01,373220,LG에너지솔루션,2025 1분기,분기보고서,6264995000000.0,374673000000.0,226573000000.0,5.98,99.23,1162033000000.0,,2.22,138.13
2025-08-01,373220,LG에너지솔루션,2025 1분기,분기보고서,6264995000000.0,374673000000.0,226573000000.0,5.98,99.23,1162033000000.0,,2.22,138.13
2025-09-01,373220,LG에너지솔루션,2025 2분기,반기보고서,5565408000000.0,492159000000.0,90605000000.0,8.84,122.55,1411996000000.0,,-9.68,151.98
2025-10-01,373220,LG에너지솔루션,2025 2분기,반기보고서,5565408000000.0,492159000000.0,90605000000.0,8.84,122.55,1411996000000.0,,-9.68,151.98
2025-11-03,373220,LG에너지솔루션,2025 2분기,반기보고서,5565408000000.0,492159000000.0,90605000000.0,8.84,122.55,1411996000000.0,,-9.68,151.98
2025-12-01,373220,LG에너지솔루션,2025 3분기,분기보고서,5699873000000.0,601309000000.0,536096000000.0,10.55,125.34,2679306000000.0,,-17.13,34.14
