Date,Open,High,Low,Close,Volume,Change
2022-12-01,194500,195000,187500,187500,1218297,0.27
2022-12-02,188000,190500,185500,185500,796841,-1.07
2022-12-05,187000,195000,186500,191500,1224361,3.23
2022-12-06,189500,190000,185000,185500,877534,-3.13
2022-12-07,183000,187500,182500,183500,646753,-1.08
2022-12-08,184000,186500,181500,185500,709428,1.09
2022-12-09,187500,195000,187000,195000,1081470,5.12
2022-12-12,192500,196500,190500,193000,652814,-1.03
2022-12-13,195500,197000,191000,193000,692706,0.0
2022-12-14,194000,195000,191500,193500,708760,0.26
2022-12-15,191000,191000,182500,182500,1270685,-5.68
2022-12-16,178000,182500,177500,180500,913806,-1.1
2022-12-19,179500,184000,179500,183500,574398,1.66
2022-12-20,182000,184000,179000,180500,625022,-1.63
2022-12-21,182500,183000,180000,180000,302976,-0.28
2022-12-22,182000,185500,180500,184500,466951,2.5
2022-12-23,180500,182000,178000,178000,613209,-3.52
2022-12-26,178500,180500,177000,178500,350843,0.28
2022-12-27,179500,182500,179000,181000,492232,1.4
2022-12-28,179000,183500,178000,180000,580495,-0.55
2022-12-29,180000,185000,177500,177500,656658,-1.39
2023-01-02,179500,180000,176000,179500,438162,1.13
2023-01-03,177000,179500,173500,178500,573137,-0.56
2023-01-04,177000,183500,177000,182500,792920,2.24
2023-01-05,184500,190000,184000,186000,1107483,1.92
2023-01-06,185500,187000,182500,185000,741129,-0.54
2023-01-09,189500,196500,189000,196500,1115201,6.22
2023-01-10,193000,196000,190500,193000,839225,-1.78
2023-01-11,197500,200500,194500,195000,1030650,1.04
2023-01-12,198000,199000,194000,194000,797343,-0.51
2023-01-13,196000,200500,195000,195000,869459,0.52
2023-01-16,197000,201000,195000,200500,846276,2.82
2023-01-17,201000,201000,193500,193500,976576,-3.49
2023-01-18,194000,196000,193000,195500,518929,1.03
2023-01-19,194000,196500,192500,196000,475600,0.26
2023-01-20,195500,201000,195000,196000,787881,0.0
2023-01-25,200500,203500,199600,202000,988822,3.06
2023-01-26,202500,204000,199900,204000,873219,0.99
2023-01-27,204500,211500,202000,211500,1212987,3.68
2023-01-30,212000,214000,206500,207000,1204050,-2.13
2023-01-31,206000,208500,202000,202500,1076468,-2.17
2023-02-01,204500,208500,202500,205500,860204,1.48
2023-02-02,213000,213500,210500,211500,1245591,2.92
2023-02-03,214000,225500,210500,223500,3065767,5.67
2023-02-06,221000,224500,215500,215500,1390741,-3.58
2023-02-07,216000,220500,215000,219500,1041746,1.86
2023-02-08,224500,232000,224000,230500,1777709,5.01
2023-02-09,224500,230500,224000,230000,1575905,-0.22
2023-02-10,226000,230500,222000,230000,1412939,0.0
2023-02-13,231000,231000,220500,223000,1308899,-3.04
2023-02-14,226500,228500,223000,224000,745937,0.45
2023-02-15,224500,224500,215000,215500,1424562,-3.79
2023-02-16,218000,222500,218000,220500,959443,2.32
2023-02-17,216000,219000,212000,215500,904481,-2.27
2023-02-20,215500,220000,213500,219000,571053,1.62
2023-02-21,220500,220500,215000,215500,646501,-1.6
2023-02-22,211500,213500,210500,211500,820639,-1.86
2023-02-23,212000,214500,211000,213500,563669,0.95
2023-02-24,213500,214000,207000,208000,851405,-2.58
2023-02-27,204000,209000,204000,208000,930467,0.0
2023-02-28,209500,212000,207500,208500,848323,0.24
2023-03-02,207500,209500,205000,206000,817689,-1.2
2023-03-03,207500,210500,205500,205500,729689,-0.24
2023-03-06,208500,214500,208500,214500,1052243,4.38
2023-03-07,214000,214500,210500,211000,640146,-1.63
2023-03-08,208500,209000,202000,202500,1027023,-4.03
2023-03-09,204500,206000,202000,202000,760330,-0.25
2023-03-10,198000,201000,197800,199800,854741,-1.09
2023-03-13,199800,203000,194600,202500,1035513,1.35
2023-03-14,200000,202000,196000,196000,776395,-3.21
2023-03-15,200000,201000,194500,196400,838555,0.2
2023-03-16,193600,198400,192100,197100,708127,0.36
2023-03-17,201000,202000,197200,198000,778496,0.46
2023-03-20,198000,204000,198000,201500,602589,1.77
2023-03-21,202500,203500,200000,200500,403322,-0.5
2023-03-22,203500,207500,203000,207000,655503,3.24
2023-03-23,204000,205000,202000,204000,607503,-1.45
2023-03-24,204500,204500,200500,202500,599102,-0.74
2023-03-27,201500,202000,198200,199300,611569,-1.58
2023-03-28,199600,201000,197800,199500,586388,0.1
2023-03-29,198000,201000,198000,199100,442034,-0.2
2023-03-30,200500,201000,198100,201000,788108,0.95
2023-03-31,203500,203500,199100,202000,937726,0.5
2023-04-03,203500,204500,198100,198200,794745,-1.88
2023-04-04,198200,201000,198100,201000,575220,1.41
2023-04-05,201000,202500,199100,199200,485125,-0.9
2023-04-06,198200,198300,191900,191900,1409355,-3.66
2023-04-07,193000,195400,192900,193400,531141,0.78
2023-04-10,193300,193700,190500,193000,783772,-0.21
2023-04-11,193300,200000,193300,199900,1137837,3.58
2023-04-12,199300,200500,196900,198000,700638,-0.95
2023-04-13,196200,198800,195600,196400,727674,-0.81
2023-04-14,198700,200500,197000,199000,964852,1.32
2023-04-17,199000,199300,196300,197000,556371,-1.01
2023-04-18,196100,196900,191500,192800,1022386,-2.13
2023-04-19,192400,192500,191400,191400,612192,-0.73
2023-04-20,191600,192700,189900,191600,581315,0.1
2023-04-21,191500,192100,190100,190300,479007,-0.68
2023-04-24,189000,191800,188500,190000,469050,-0.16
2023-04-25,190000,191200,186000,186100,778485,-2.05
2023-04-26,185800,190900,185700,188100,671910,1.07
2023-04-27,188000,189400,186500,188200,470891,0.05
2023-04-28,190000,193400,190000,192300,902999,2.18
2023-05-02,192200,193200,191400,193200,491178,0.47
2023-05-03,191800,193400,191300,192600,448203,-0.31
2023-05-04,191100,197300,189000,196100,900385,1.82
2023-05-08,200500,207500,198200,207000,2034862,5.56
