Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2022-12-01,740.6,1,11.06,1.52,740.97,744.56,739.16,825110488,5758034113830,343075080230538.0
2022-12-02,732.95,2,-7.65,-1.03,740.13,740.18,732.41,856591397,6105784023168,339643001144892.0
2022-12-05,733.32,1,0.37,0.05,736.45,739.77,731.07,1058482673,5258240835790,339917270391513.0
2022-12-06,719.44,2,-13.88,-1.89,726.32,727.34,719.29,926869131,5019200256718,333769906652176.0
2022-12-07,718.14,2,-1.3,-0.18,715.63,722.62,711.63,982850616,5033008873398,333420326905253.0
2022-12-08,712.52,2,-5.62,-0.78,718.37,719.69,711.08,1069811230,5819829414081,330917120166935.0
2022-12-09,719.49,1,6.97,0.98,717.24,721.14,712.4,1278548475,6153962230900,334174610218005.0
2022-12-12,715.22,2,-4.27,-0.59,716.88,718.31,714.26,964001067,4713130416393,332248030270132.0
2022-12-13,715.16,2,-0.06,-0.01,717.64,719.33,712.21,1191298483,4878762164837,332194007303160.0
2022-12-14,729.0,1,13.84,1.94,718.17,729.17,718.17,1082237656,5359244088087,338621742436927.0
2022-12-15,722.68,2,-6.32,-0.87,725.32,730.51,721.46,957408065,4765903194878,335706650690362.0
2022-12-16,717.41,2,-5.27,-0.73,711.33,720.48,710.2,889444273,4729865927302,333728481678709.0
2022-12-19,717.22,2,-0.19,-0.03,716.8,722.42,714.63,776382980,4424672451571,333338382026031.0
2022-12-20,703.13,2,-14.09,-1.96,715.13,715.29,701.44,977951443,5388784442362,326822623464700.0
2022-12-21,705.7,1,2.57,0.37,708.13,709.95,701.61,938032477,5181366913552,327971511518424.0
2022-12-22,715.02,1,9.32,1.32,710.47,715.35,709.52,851987960,4454190720079,332311677394446.0
2022-12-23,691.25,2,-23.77,-3.32,704.93,704.93,691.25,1107302430,5147797944521,321813279703994.0
2022-12-26,694.68,1,3.43,0.5,691.94,696.96,686.8,797707556,4331951164904,323390640890782.0
2022-12-27,704.19,1,9.51,1.37,697.25,704.21,697.25,901437356,5092351194343,327910002219152.0
2022-12-28,692.37,2,-11.82,-1.68,699.24,699.39,691.01,834832047,5137454012918,321475844186489.0
2022-12-29,679.29,2,-13.08,-1.89,691.35,693.12,675.8,952158164,4811065003230,315498720104122.0
2023-01-02,671.51,2,-7.78,-1.15,683.84,688.77,670.38,742766883,4368090675028,311897723962202.0
2023-01-03,674.95,1,3.44,0.51,672.18,675.75,660.32,935983853,5089081840536,313443983727042.0
2023-01-04,683.67,1,8.72,1.29,670.18,683.67,667.3,901765440,5078751515147,317540886338069.0
2023-01-05,679.92,2,-3.75,-0.55,685.78,688.35,677.77,885279201,5386582895251,315902966634724.0
2023-01-06,688.94,1,9.02,1.33,677.28,691.17,676.4,818505863,5526770459644,320090411554481.0
2023-01-09,701.21,1,12.27,1.78,695.02,701.21,695.02,1008250417,5133008656994,325718026654199.0
2023-01-10,696.05,2,-5.16,-0.74,700.16,704.6,694.92,1158010390,6117171540235,323644848790326.0
2023-01-11,709.77,1,13.72,1.97,701.29,710.29,701.29,1247665887,5513943719806,329777375205274.0
2023-01-12,710.82,1,1.05,0.15,713.56,714.1,707.54,1246163428,5282576216473,330354754662007.0
2023-01-13,711.82,1,1.0,0.14,712.24,714.75,709.26,1082281898,5228817012586,330987809068553.0
2023-01-16,716.89,1,5.07,0.71,714.71,718.15,713.19,1230665863,5646744491823,333362222147532.0
2023-01-17,709.71,2,-7.18,-1.0,716.7,718.9,708.54,1162082903,6282539324111,330058542928887.0
2023-01-18,711.75,1,2.04,0.29,711.12,713.28,708.79,1175236186,6534155029258,331005187288778.0
2023-01-19,712.89,1,1.14,0.16,707.66,712.94,705.76,1008732586,6275312810268,331969248601759.0
2023-01-20,717.97,1,5.08,0.71,712.32,718.03,712.32,1006210961,6147616035795,334506823768744.0
2023-01-25,732.35,1,14.38,2.0,725.23,732.42,725.23,1016337377,7703890930377,341163277030754.0
2023-01-26,738.94,1,6.59,0.9,734.37,740.99,733.23,1207458460,9151210987978,344416794892032.0
2023-01-27,741.25,1,2.31,0.31,741.2,742.07,737.9,1135404760,7465456180852,345741980309055.0
2023-01-30,738.62,2,-2.63,-0.35,743.73,746.33,736.9,1050895012,7484991890565,344704325436817.0
2023-01-31,740.49,1,1.87,0.25,735.19,740.98,732.33,975258796,8044582854225,345558866757648.0
2023-02-01,750.96,1,10.47,1.41,744.9,752.5,744.03,1065396559,8786552313425,350460923570265.0
2023-02-02,764.62,1,13.66,1.82,759.53,764.84,758.72,1220834721,8757933896696,356981668435985.0
2023-02-03,766.79,1,2.17,0.28,765.37,768.03,761.82,1136574420,9265712633432,358449971540544.0
2023-02-06,761.33,2,-5.46,-0.71,763.66,766.23,760.65,1185407618,8029937901748,355964477004747.0
2023-02-07,772.79,1,11.46,1.51,762.47,773.79,762.3,1261551684,9579662960807,361544964041108.0
2023-02-08,779.98,1,7.19,0.93,777.43,779.98,776.3,1461520222,9573057233799,364938932575631.0
2023-02-09,784.58,1,4.6,0.59,776.6,784.64,776.26,1411565323,9920451537909,367173795818580.0
2023-02-10,772.44,2,-12.14,-1.55,783.07,784.52,771.62,1309834875,10589209653850,361579872170428.0
2023-02-13,772.55,1,0.11,0.01,771.5,774.08,767.64,1198564825,9602981944224,361652493885227.0
2023-02-14,779.58,1,7.03,0.91,778.05,780.13,774.61,1273741863,9632666955757,364997188932796.0
2023-02-15,765.46,2,-14.12,-1.81,782.55,784.38,763.81,1416003278,10724452319144,358813760540798.0
2023-02-16,784.71,1,19.25,2.51,772.17,784.71,772.16,1242737840,9390497539425,368439501627773.0
2023-02-17,775.62,2,-9.09,-1.16,775.03,780.78,772.96,862495804,8911920587474,364469232408772.0
2023-02-20,788.89,1,13.27,1.71,777.68,789.26,773.86,889521303,8887053338794,370746475379803.0
2023-02-21,793.42,1,4.53,0.57,789.45,793.42,786.48,1020994847,9639630272262,372841940875971.0
2023-02-22,778.51,2,-14.91,-1.88,782.83,787.85,774.54,1125363718,10019625958257,365904573571717.0
2023-02-23,783.28,1,4.77,0.61,782.18,784.59,774.1,927833109,9911740145966,368151719875675.0
2023-02-24,778.88,2,-4.4,-0.56,784.94,786.09,774.21,1192537980,10444720873784,366037810529367.0
2023-02-27,780.3,1,1.42,0.18,775.01,781.54,769.75,1146531764,10516965244726,366628524556680.0
2023-02-28,791.6,1,11.3,1.45,784.23,793.65,783.66,1005903187,10411152630191,371912984933647.0
2023-03-02,787.19,2,-4.41,-0.56,793.63,797.01,786.52,1020089923,10853202033853,370075760790550.0
2023-03-03,802.42,1,15.23,1.93,792.9,802.45,792.61,1102273010,11038716785758,378059877027936.0
2023-03-06,816.51,1,14.09,1.76,810.61,816.62,804.47,1110188043,12501426767453,384639511424349.0
2023-03-07,815.76,2,-0.75,-0.09,814.27,818.56,810.47,1387403737,13160788244787,384474106386699.0
2023-03-08,813.95,2,-1.81,-0.22,809.14,817.17,807.95,1261649247,12564614444845,383607754458222.0
2023-03-09,809.22,2,-4.73,-0.58,817.03,817.12,801.1,1367967960,11685234349063,381522431004330.0
2023-03-10,788.6,2,-20.62,-2.55,796.57,798.96,785.66,1204572401,10596319347695,371906517641291.0
2023-03-13,788.89,1,0.29,0.04,784.02,789.18,771.03,1178495051,10709010999333,372176398769848.0
2023-03-14,758.05,2,-30.84,-3.91,788.44,789.22,758.05,1140138741,10903713293362,357461172609841.0
2023-03-15,781.17,1,23.12,3.05,774.53,784.59,773.65,1030708174,10695497522005,368139424343113.0
2023-03-16,781.98,1,0.81,0.1,780.53,785.54,767.11,1109314318,12290180356964,367720334540747.0
2023-03-17,797.39,1,15.41,1.97,791.18,798.62,785.98,1146052772,14408936955743,374945162115715.0
2023-03-20,802.2,1,4.81,0.6,793.04,803.42,791.45,1097773310,11521937840437,377052534644858.0
2023-03-21,802.53,1,0.33,0.04,806.51,809.33,802.42,1062910296,11841971249509,377289756737026.0
2023-03-22,813.43,1,10.9,1.36,811.17,813.43,807.91,1117238787,12635103045628,382341032320615.0
2023-03-23,812.19,2,-1.24,-0.15,807.53,824.2,806.4,1177436814,17941127148489,381704111823252.0
2023-03-24,824.11,1,11.92,1.47,820.16,824.11,814.07,1292725293,13796536815740,386895184121892.0
2023-03-27,827.69,1,3.58,0.43,827.95,829.18,817.81,1176552750,13400561434542,388588093717020.0
2023-03-28,833.51,1,5.82,0.7,831.07,833.68,825.4,1222376505,13869710258035,391491400113686.0
2023-03-29,843.94,1,10.43,1.25,833.9,843.94,832.44,1309614395,14690132558379,396799314710996.0
2023-03-30,850.48,1,6.54,0.77,850.78,852.59,846.1,1502135159,15325502771118,400365537565452.0
2023-03-31,847.52,2,-2.96,-0.35,849.98,851.13,842.61,1282318439,13809848648802,399097446427679.0
2023-04-03,854.96,1,7.44,0.88,850.86,855.2,847.7,1145928489,13203018060184,402741110536531.0
2023-04-04,857.18,1,2.22,0.26,853.92,861.13,852.02,1310437645,13297190656343,403961765614704.0
2023-04-05,872.36,1,15.18,1.77,857.54,872.44,856.15,1500672632,13396403443642,411050883520240.0
2023-04-06,865.58,2,-6.78,-0.78,869.65,869.94,859.13,1418014429,12406329224599,408022459534572.0
2023-04-07,880.07,1,14.49,1.67,871.83,880.07,866.58,1669012618,14090088087819,414870489420584.0
2023-04-10,887.78,1,7.71,0.88,882.75,890.96,877.31,1590085779,17822665408444,418754179964574.0
2023-04-11,898.94,1,11.16,1.26,893.2,899.37,879.73,1555495545,16842487400613,425634975713436.0
2023-04-12,890.62,2,-8.32,-0.93,897.11,900.83,888.63,1987419195,17250515448378,421877162148019.0
2023-04-13,894.25,1,3.63,0.41,885.5,895.29,875.42,1698995237,16889537267849,423574251022428.0
2023-04-14,903.84,1,9.59,1.07,902.56,906.69,900.7,1463219786,13980550011471,428656711360164.0
2023-04-17,909.5,1,5.66,0.63,905.35,909.5,898.84,1543775299,13443511061462,431395913487050.0
2023-04-18,909.02,2,-0.48,-0.05,910.75,910.75,902.9,1973947340,16619154094369,431287161226592.0
2023-04-19,909.2,1,0.18,0.02,908.87,913.97,907.59,1878192262,14839360491784,430184410576079.0
2023-04-20,885.71,2,-23.49,-2.58,905.81,906.0,884.33,2324112321,13974830133200,419231110265497.0
2023-04-21,868.82,2,-16.89,-1.91,884.27,888.21,868.36,2021045955,13125995750077,411902039051204.0
2023-04-24,855.23,2,-13.59,-1.56,867.38,870.08,852.48,1308672542,10547590468540,405538682580775.0
