Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2022-12-01,2479.84,1,7.31,0.3,2501.43,2501.43,2474.33,491383400,8850099247038,1959622742842372.8
2022-12-02,2434.33,2,-45.51,-1.84,2471.5,2471.5,2434.33,468847334,7328393301881,1924204751365239.2
2022-12-05,2419.32,2,-15.01,-0.62,2442.17,2442.22,2413.05,385586134,7717406208213,1911915922637855.2
2022-12-06,2393.16,2,-26.16,-1.08,2397.7,2416.88,2390.2,368635781,6477022385590,1891336961499674.0
2022-12-07,2382.81,2,-10.35,-0.43,2385.87,2394.88,2377.98,332586789,6080662497686,1882795765140146.0
2022-12-08,2371.08,2,-11.73,-0.49,2386.9,2387.95,2357.2,351939439,7552996919747,1873438918318868.8
2022-12-09,2389.04,1,17.96,0.76,2382.73,2390.08,2367.25,315674287,7220197808267,1888379555760614.0
2022-12-12,2373.02,2,-16.02,-0.67,2373.58,2381.87,2368.47,499224684,5822259612423,1875700660827307.2
2022-12-13,2372.4,2,-0.62,-0.03,2385.05,2388.27,2364.87,447565388,6659361034224,1874838727660788.0
2022-12-14,2399.25,1,26.85,1.13,2380.81,2400.18,2379.44,409799402,5724107192073,1895655040773680.8
2022-12-15,2360.97,2,-38.28,-1.6,2383.83,2392.11,2360.95,375386441,6134217159398,1865842784271843.2
2022-12-16,2360.02,2,-0.95,-0.04,2329.75,2360.44,2326.83,414172006,7206180401653,1865107455187511.2
2022-12-19,2352.17,2,-7.85,-0.33,2350.78,2358.76,2342.28,323987461,5018051573386,1859031540760755.2
2022-12-20,2333.29,2,-18.88,-0.8,2344.73,2353.86,2324.66,358771039,5335838130528,1844296008436715.2
2022-12-21,2328.95,2,-4.34,-0.19,2346.39,2347.0,2325.78,329724466,5102489702486,1840550908652687.2
2022-12-22,2356.73,1,27.78,1.19,2340.0,2356.73,2335.75,553052921,9460858960619,1863411614401840.0
2022-12-23,2313.69,2,-43.04,-1.83,2325.86,2333.08,2311.9,366988585,5935798139102,1829395536163727.2
2022-12-26,2317.14,1,3.45,0.15,2312.54,2321.92,2304.2,427844636,5205750204132,1831727639591539.2
2022-12-27,2332.79,1,15.65,0.68,2327.52,2335.99,2321.48,448498792,7126994120167,1844141209320556.8
2022-12-28,2280.45,2,-52.34,-2.24,2296.45,2296.45,2276.9,405893520,7566892910919,1801877942940295.2
2022-12-29,2236.4,2,-44.05,-1.93,2265.73,2272.67,2236.38,361194425,6036542050335,1767235220931085.0
2023-01-02,2225.67,2,-10.73,-0.48,2249.95,2259.88,2222.37,346344799,5200137586818,1759241799519040.0
2023-01-03,2218.68,2,-6.99,-0.31,2230.98,2230.98,2180.67,410245325,6149082624890,1753771077018843.0
2023-01-04,2255.98,1,37.3,1.68,2205.98,2260.06,2198.82,412841149,6487597995523,1783808765569816.0
2023-01-05,2264.65,1,8.67,0.38,2268.2,2281.39,2252.97,430977022,7521178466245,1791816776272757.0
2023-01-06,2289.97,1,25.32,1.12,2253.4,2300.62,2253.27,398606581,6764112169245,1811418923114710.0
2023-01-09,2350.19,1,60.22,2.63,2315.87,2351.06,2312.56,342095527,7028980630776,1858632832938702.0
2023-01-10,2351.31,1,1.12,0.05,2348.04,2370.18,2344.18,359914195,6702908456279,1859599298527136.8
2023-01-11,2359.53,1,8.22,0.35,2364.05,2369.66,2350.36,369010952,6297145034283,1865737441088174.0
