date,title,firm,target_price,opinion,nid
2023-02-27,"놀라긴 이르다, 이제 시작일 뿐",유진투자증권,114000.0,Buy,63208
2023-02-27,난세의 영웅,신한투자증권,120000.0,매수,63206
2023-04-06,Show me the Weapon,신한투자증권,138000.0,매수,63684
2023-04-20,1Q23 Preview: 끝나지 않은 방산 모멘텀,유진투자증권,133000.0,Buy,64010
2023-04-28,1Q23 Review: 말이 필요없는 완벽한 실적,이베스트증권,137000.0,Buy,64381
2023-04-28,기분 좋은 서프라이즈,유진투자증권,133000.0,Buy,64322
2023-04-28,수출 역군의 화려한 스타트,신한투자증권,147000.0,매수,64310
2023-05-15,천무 등 수출 성장 사이클 진입,하이투자증권,,,64979
2023-05-30,원대한 꿈이 실현되는 과정,SK증권,145000.0,매수,65342
2023-06-21,실적 성장과 모멘텀을 모두 보유,키움증권,180000.0,Buy,65600
2023-07-28,지상방산 부문의 수출 확대에 주목,키움증권,180000.0,Buy,66546
2023-09-21,이제는 세계 무대로,미래에셋증권,150000.0,매수,67890
2023-10-16,3Q23 Preview: 쉬어가는 3분기,유진투자증권,133000.0,Buy,68262
2023-11-01,찾아오는 도약의 시기,유진투자증권,133000.0,Buy,68925
2023-11-01,"리스크 해소, 다시 수출 시동",신한투자증권,132000.0,매수,68916
2023-11-01,방산 부문을 중심으로 호실적 달성,키움증권,,,68892
2023-11-03,흔들리지 않는 편안함,미래에셋증권,150000.0,매수,69031
2023-11-28,거를 타선이 없다,SK증권,160000.0,매수,69899
2024-02-26,빛나는 방산 부문의 성장세,키움증권,200000.0,Buy,71963
2024-02-26,Show Me The Weapon,신한투자증권,185000.0,매수,71958
2024-02-26,4Q23 Review - One Step Further,유진투자증권,185000.0,Buy,71948
2024-02-27,본격적인 방산 성장의 해,미래에셋증권,210000.0,매수,71984
2024-03-06,우주의 기운이 모인다,유안타증권,235000.0,Buy,72103
2024-03-22,4Q23 NDR Key Takeaways,메리츠증권,250000.0,Buy,72330
2024-04-03,신한속보; 한화에어로스페이스,신한투자증권,215000.0,매수,72495
2024-04-08,인적분할 결정에 따른 영향 점검,하나증권,289000.0,Buy,72588
2024-04-15,한화에어로스페이스의 포구는 식지 않는다,교보증권,294000.0,Buy,72753
2024-04-15,선택과 집중,미래에셋증권,270000.0,매수,72736
2024-05-02,연간 성장은 의심할 여지없다(QnA 포함),교보증권,280000.0,Buy,73505
2024-05-02,"Earning shock, but Top pick",하나증권,289000.0,Buy,73499
2024-05-02,"일시적 쇼크, 조삼모사",신한투자증권,247000.0,매수,73475
2024-05-02,뒤늦게 온 성장통,미래에셋증권,270000.0,매수,73461
2024-05-02,전혀 실망할 필요가 없다,유진투자증권,280000.0,Buy,73418
2024-05-02,어쩌면 다시 없을 매수 기회,하이투자증권,270000.0,Buy,73400
2024-05-28,K-방산의 상징 그 잡채,SK증권,250000.0,매수,74374
