label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,conf_mean,conf_std
Consensus,Buy,1206,,,,3.785,53.9,1.09,,
Consensus,전체,1206,,,,3.785,53.9,1.09,,
GoldenCross,Buy,2860,,,,5.375,57.0,1.223,,
GoldenCross,전체,2860,,,,5.375,57.0,1.223,,
cond1,Buy,517,1.039,53.2,0.537,3.515,57.4,0.86,75.4,2.1
cond1,Neutral,206,1.293,55.8,0.746,2.171,49.0,0.632,50.6,1.6
cond1,전체,723,1.111,53.9,0.592,3.132,55.0,0.8,68.3,11.4
cond2,Buy,250,0.598,50.4,0.306,2.466,52.8,0.649,74.9,4.0
cond2,Neutral,457,1.373,55.4,0.743,3.642,56.2,0.914,49.0,4.5
cond2,Sell,16,1.657,31.2,1.113,-1.027,43.8,-0.302,65.6,4.4
cond2,전체,723,1.111,53.9,0.592,3.132,55.0,0.8,58.3,13.0
cond3,Buy,457,0.675,52.5,0.385,2.516,54.5,0.729,75.9,5.8
cond3,Neutral,236,1.682,55.5,0.82,4.577,56.4,0.966,51.0,5.5
cond3,Sell,30,3.26,33.3,1.528,1.162,46.7,0.378,66.7,5.0
cond3,전체,723,1.111,53.9,0.592,3.132,55.0,0.8,67.4,12.9
cond4,Buy,468,0.762,53.2,0.432,2.637,54.3,0.753,75.8,5.4
cond4,Neutral,215,1.703,55.8,0.878,4.605,58.6,0.979,53.5,5.7
cond4,Sell,42,2.344,42.9,0.891,1.657,52.4,0.45,67.7,3.2
cond4,전체,725,1.133,54.1,0.603,3.164,55.2,0.809,68.7,11.4
