sector,cond,signal,n,mean,hit_rate,sharpe
반도체,cond1,Buy,37,7.563,78.4,1.891
반도체,cond1,Neutral,37,2.908,54.1,1.1
반도체,cond1,Sell,0,,,
반도체,cond2,Buy,24,4.25,54.2,1.046
반도체,cond2,Neutral,50,5.708,72.0,1.828
반도체,cond2,Sell,0,,,
반도체,cond3,Buy,56,5.411,66.1,1.523
반도체,cond3,Neutral,17,5.007,70.6,1.566
반도체,cond3,Sell,1,-0.735,100.0,
반도체,cond4,Buy,54,5.007,63.0,1.377
반도체,cond4,Neutral,21,6.999,81.0,2.432
반도체,cond4,Sell,1,-0.735,100.0,
바이오,cond1,Buy,97,4.579,59.8,0.838
바이오,cond1,Neutral,12,3.013,41.7,0.824
바이오,cond1,Sell,0,,,
바이오,cond2,Buy,43,4.043,62.8,0.932
바이오,cond2,Neutral,66,4.644,54.5,0.794
바이오,cond2,Sell,0,,,
바이오,cond3,Buy,55,3.782,61.8,0.959
바이오,cond3,Neutral,44,6.564,56.8,0.939
바이오,cond3,Sell,10,-1.654,60.0,-1.128
바이오,cond4,Buy,58,1.946,55.2,0.602
바이오,cond4,Neutral,43,9.076,67.4,1.237
바이오,cond4,Sell,8,-2.852,75.0,-1.997
배터리,cond1,Buy,72,-0.924,38.9,-0.233
배터리,cond1,Neutral,36,4.986,55.6,1.03
배터리,cond1,Sell,0,,,
배터리,cond2,Buy,25,-0.755,40.0,-0.281
배터리,cond2,Neutral,74,2.51,47.3,0.526
배터리,cond2,Sell,9,-5.986,66.7,-1.586
배터리,cond3,Buy,41,-1.477,31.7,-0.44
배터리,cond3,Neutral,51,2.357,49.0,0.462
배터리,cond3,Sell,16,3.335,37.5,0.866
배터리,cond4,Buy,38,-1.406,34.2,-0.401
배터리,cond4,Neutral,45,1.598,44.4,0.327
배터리,cond4,Sell,25,3.78,40.0,0.856
자동차,cond1,Buy,72,2.43,61.1,1.205
자동차,cond1,Neutral,0,,,
자동차,cond1,Sell,0,,,
자동차,cond2,Buy,37,1.572,56.8,0.769
자동차,cond2,Neutral,35,3.337,65.7,1.681
자동차,cond2,Sell,0,,,
자동차,cond3,Buy,56,1.716,58.9,0.9
자동차,cond3,Neutral,16,4.93,68.8,2.158
자동차,cond3,Sell,0,,,
자동차,cond4,Buy,62,2.319,61.3,1.181
자동차,cond4,Neutral,10,3.12,60.0,1.281
자동차,cond4,Sell,0,,,
금융,cond1,Buy,54,2.875,72.2,1.356
금융,cond1,Neutral,18,2.407,50.0,1.036
금융,cond1,Sell,0,,,
금융,cond2,Buy,32,2.786,68.8,1.056
금융,cond2,Neutral,40,2.735,65.0,1.596
금융,cond2,Sell,0,,,
금융,cond3,Buy,52,2.209,63.5,0.958
금융,cond3,Neutral,20,4.184,75.0,2.473
금융,cond3,Sell,0,,,
금융,cond4,Buy,54,2.463,66.7,1.073
금융,cond4,Neutral,18,3.642,66.7,2.128
금융,cond4,Sell,0,,,
IT플랫폼,cond1,Buy,26,1.194,46.2,0.367
IT플랫폼,cond1,Neutral,46,1.934,47.8,0.56
IT플랫폼,cond1,Sell,0,,,
IT플랫폼,cond2,Buy,14,-4.279,14.3,-2.375
IT플랫폼,cond2,Neutral,56,3.154,53.6,0.879
IT플랫폼,cond2,Sell,2,1.656,0.0,7.319
IT플랫폼,cond3,Buy,51,1.114,47.1,0.333
IT플랫폼,cond3,Neutral,20,3.731,50.0,1.099
IT플랫폼,cond3,Sell,1,-11.409,100.0,
IT플랫폼,cond4,Buy,45,0.95,42.2,0.275
IT플랫폼,cond4,Neutral,27,2.862,55.6,0.884
IT플랫폼,cond4,Sell,0,,,
기타,cond1,Buy,159,5.023,54.7,1.145
기타,cond1,Neutral,57,-0.144,43.9,-0.047
기타,cond1,Sell,0,,,
기타,cond2,Buy,75,3.628,49.3,0.747
기타,cond2,Neutral,136,3.56,52.2,0.953
기타,cond2,Sell,5,6.825,20.0,3.582
기타,cond3,Buy,146,2.955,51.4,0.741
기타,cond3,Neutral,68,5.13,51.5,1.154
기타,cond3,Sell,2,5.088,0.0,2.953
기타,cond4,Buy,157,3.726,52.2,0.874
기타,cond4,Neutral,51,4.054,52.9,1.042
기타,cond4,Sell,8,-0.171,62.5,-0.065
