ticker,name,market,sector,cond,n_buy,mean,hit_rate,sharpe
000270,기아,코스피,자동차,cond1,36,2.524,61.1,1.285
000660,SK하이닉스,코스피,반도체,cond1,37,7.563,78.4,1.891
005380,현대차,코스피,자동차,cond1,36,2.336,61.1,1.114
005930,삼성전자,코스피,반도체,cond1,0,,,
006400,삼성SDI,코스피,배터리,cond1,36,-0.804,44.4,-0.198
012450,한화에어로스페이스,코스피,기타,cond1,36,9.116,63.9,1.716
034020,두산에너빌리티,코스피,기타,cond1,36,5.843,63.9,1.229
035420,네이버,코스피,IT플랫폼,cond1,26,1.194,46.2,0.367
035720,카카오,코스피,IT플랫폼,cond1,0,,,
051910,LG화학,코스피,기타,cond1,10,-2.463,20.0,-0.711
055550,신한지주,코스피,금융,cond1,20,2.399,60.0,1.098
068270,셀트리온,코스피,바이오,cond1,24,0.682,58.3,0.335
105560,KB금융,코스피,금융,cond1,34,3.155,79.4,1.494
196170,알테오젠,코스닥,바이오,cond1,36,10.23,66.7,1.216
207940,삼성바이오로직스,코스피,바이오,cond1,37,1.609,54.1,0.817
247540,에코프로비엠,코스닥,배터리,cond1,19,-0.509,42.1,-0.098
259960,크래프톤,코스피,기타,cond1,15,3.32,53.3,1.16
329180,HD현대중공업,코스피,기타,cond1,36,3.891,47.2,1.044
352820,HYBE,코스피,기타,cond1,26,3.647,53.8,0.87
373220,LG에너지솔루션,코스피,배터리,cond1,17,-1.642,23.5,-0.833
000270,기아,코스피,자동차,cond2,21,1.824,57.1,0.814
000660,SK하이닉스,코스피,반도체,cond2,15,5.984,60.0,1.228
005380,현대차,코스피,자동차,cond2,16,1.241,56.2,0.683
005930,삼성전자,코스피,반도체,cond2,9,1.36,44.4,0.628
006400,삼성SDI,코스피,배터리,cond2,8,-2.293,25.0,-0.931
012450,한화에어로스페이스,코스피,기타,cond2,25,7.234,60.0,1.349
034020,두산에너빌리티,코스피,기타,cond2,13,7.609,61.5,1.122
035420,네이버,코스피,IT플랫폼,cond2,8,-4.611,12.5,-3.578
035720,카카오,코스피,IT플랫폼,cond2,6,-3.836,16.7,-1.556
051910,LG화학,코스피,기타,cond2,9,-2.351,33.3,-1.422
055550,신한지주,코스피,금융,cond2,13,3.554,69.2,1.265
068270,셀트리온,코스피,바이오,cond2,7,6.188,85.7,1.289
105560,KB금융,코스피,금융,cond2,19,2.261,68.4,0.876
196170,알테오젠,코스닥,바이오,cond2,26,5.321,61.5,1.092
207940,삼성바이오로직스,코스피,바이오,cond2,10,-0.783,50.0,-0.41
247540,에코프로비엠,코스닥,배터리,cond2,11,0.655,45.5,0.202
259960,크래프톤,코스피,기타,cond2,6,1.349,33.3,0.37
329180,HD현대중공업,코스피,기타,cond2,14,3.855,50.0,0.909
352820,HYBE,코스피,기타,cond2,8,-6.075,25.0,-2.379
373220,LG에너지솔루션,코스피,배터리,cond2,6,-1.288,50.0,-0.62
