sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,36,7.629,77.8,1.928,5.597,72.2,1.817
반도체,cond1,Neutral,36,2.708,52.8,1.045,0.676,44.4,0.367
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,20,4.988,50.0,1.125,2.553,45.0,0.777
반도체,cond2,Neutral,52,5.237,71.2,1.774,3.361,63.5,1.436
반도체,cond2,Sell,0,,,,,,
반도체,cond3,Buy,52,5.163,63.5,1.439,3.309,61.5,1.182
반도체,cond3,Neutral,20,5.182,70.0,1.776,2.688,50.0,1.271
반도체,cond3,Sell,0,,,,,,
반도체,cond4,Buy,54,5.779,63.0,1.532,3.399,59.3,1.171
반도체,cond4,Neutral,16,3.645,75.0,1.893,2.968,62.5,2.018
반도체,cond4,Sell,2,0.866,50.0,1.357,-2.616,100.0,-3.279
반도체,cond4_no_reports,Buy,16,10.311,50.0,2.05,5.118,50.0,1.335
반도체,cond4_no_reports,Neutral,54,3.703,70.4,1.369,2.503,61.1,1.16
반도체,cond4_no_reports,Sell,2,3.587,50.0,1.339,4.376,50.0,1.33
바이오,cond1,Buy,60,7.049,63.3,1.083,5.651,56.7,0.875
바이오,cond1,Neutral,48,1.118,50.0,0.448,-1.216,37.5,-0.538
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,38,4.206,60.5,0.935,4.335,60.5,0.958
바이오,cond2,Neutral,70,4.526,55.7,0.817,1.656,41.4,0.305
바이오,cond2,Sell,0,,,,,,
바이오,cond3,Buy,55,3.379,60.0,0.876,2.095,47.3,0.525
바이오,cond3,Neutral,45,6.818,57.8,1.012,4.381,51.1,0.672
바이오,cond3,Sell,8,-2.001,62.5,-1.27,-3.961,62.5,-1.995
바이오,cond4,Buy,56,1.977,55.4,0.638,0.543,44.6,0.185
바이오,cond4,Neutral,46,8.277,63.0,1.179,5.633,52.2,0.797
바이오,cond4,Sell,6,-2.477,66.7,-1.361,-1.47,50.0,-0.827
바이오,cond4_no_reports,Buy,45,1.425,53.3,0.464,0.27,48.9,0.096
바이오,cond4_no_reports,Neutral,62,6.568,59.7,1.047,4.337,48.4,0.689
바이오,cond4_no_reports,Sell,1,5.257,0.0,,-0.324,100.0,
배터리,cond1,Buy,36,-0.804,44.4,-0.203,-2.835,33.3,-0.884
배터리,cond1,Neutral,72,1.971,44.4,0.452,0.266,44.4,0.071
배터리,cond1,Sell,0,,,,,,
배터리,cond2,Buy,18,2.036,38.9,0.424,1.666,50.0,0.373
배터리,cond2,Neutral,89,0.732,44.9,0.177,-1.341,38.2,-0.394
배터리,cond2,Sell,1,11.172,0.0,,6.442,0.0,
배터리,cond3,Buy,35,-0.327,37.1,-0.095,-1.029,34.3,-0.319
배터리,cond3,Neutral,65,1.225,44.6,0.259,-1.234,38.5,-0.323
배터리,cond3,Sell,8,5.605,25.0,1.844,4.157,12.5,1.276
