category,group_a,group_b,n_a,n_b,metric,metric_type,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size,effect_size_type,significance
core,cond4,cond1,433,318,return_20d,absolute,2.8177,4.7562,-1.9385,mann_whitney,63426.0,0.065,-0.0787,cliffs_delta,.
core,cond4,cond1,433,318,return_20d,absolute,2.8177,4.7562,-1.9385,welch_ttest,-1.8157,0.0699,-0.139,cohens_d,.
core,cond4,cond1,433,318,excess_return_20d,excess,1.0071,2.926,-1.9189,mann_whitney,64060.5,0.1033,-0.0695,cliffs_delta,ns
core,cond4,cond1,433,318,excess_return_20d,excess,1.0071,2.926,-1.9189,welch_ttest,-1.8895,0.0593,-0.1453,cohens_d,.
core,cond4,GoldenCross,433,510,return_20d,absolute,2.8177,2.2021,0.6156,mann_whitney,116264.0,0.1606,0.053,cliffs_delta,ns
core,cond4,GoldenCross,433,510,return_20d,absolute,2.8177,2.2021,0.6156,welch_ttest,0.7059,0.4804,0.0456,cohens_d,ns
core,cond4,GoldenCross,433,510,excess_return_20d,excess,1.0071,0.289,0.7181,mann_whitney,115765.0,0.1993,0.0485,cliffs_delta,ns
core,cond4,GoldenCross,433,510,excess_return_20d,excess,1.0071,0.289,0.7181,welch_ttest,0.8931,0.372,0.0578,cohens_d,ns
core,cond4,Consensus,433,2985,return_20d,absolute,2.8177,1.9883,0.8294,mann_whitney,682676.0,0.0577,0.0564,cliffs_delta,.
core,cond4,Consensus,433,2985,return_20d,absolute,2.8177,1.9883,0.8294,welch_ttest,1.2992,0.1944,0.0676,cohens_d,ns
core,cond4,Consensus,433,2985,excess_return_20d,excess,1.0071,-0.0277,1.0348,mann_whitney,686803.0,0.0346,0.0627,cliffs_delta,*
core,cond4,Consensus,433,2985,excess_return_20d,excess,1.0071,-0.0277,1.0348,welch_ttest,1.7462,0.0813,0.0925,cohens_d,.
auxiliary,cond2,cond1,227,318,return_20d,absolute,3.1897,4.7562,-1.5665,mann_whitney,33179.5,0.108,-0.0807,cliffs_delta,ns
auxiliary,cond2,cond1,227,318,return_20d,absolute,3.1897,4.7562,-1.5665,welch_ttest,-1.2094,0.2271,-0.1033,cohens_d,ns
auxiliary,cond2,cond1,227,318,excess_return_20d,excess,1.644,2.926,-1.282,mann_whitney,33726.0,0.1916,-0.0656,cliffs_delta,ns
auxiliary,cond2,cond1,227,318,excess_return_20d,excess,1.644,2.926,-1.282,welch_ttest,-1.034,0.3016,-0.0883,cohens_d,ns
auxiliary,cond3,cond1,438,318,return_20d,absolute,2.7843,4.7562,-1.9719,mann_whitney,64258.5,0.0694,-0.0773,cliffs_delta,.
auxiliary,cond3,cond1,438,318,return_20d,absolute,2.7843,4.7562,-1.9719,welch_ttest,-1.8597,0.0634,-0.1425,cohens_d,.
auxiliary,cond3,cond1,438,318,excess_return_20d,excess,0.9038,2.926,-2.0222,mann_whitney,64646.0,0.0919,-0.0717,cliffs_delta,.
auxiliary,cond3,cond1,438,318,excess_return_20d,excess,0.9038,2.926,-2.0222,welch_ttest,-1.9903,0.047,-0.1527,cohens_d,*
auxiliary,cond4,cond4_no_reports,433,250,return_20d,absolute,2.8177,2.768,0.0497,mann_whitney,54247.0,0.961,0.0023,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,433,250,return_20d,absolute,2.8177,2.768,0.0497,welch_ttest,0.0502,0.96,0.004,cohens_d,ns
auxiliary,cond4,cond4_no_reports,433,250,excess_return_20d,excess,1.0071,0.9729,0.0342,mann_whitney,54209.5,0.973,0.0016,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,433,250,excess_return_20d,excess,1.0071,0.9729,0.0342,welch_ttest,0.0366,0.9708,0.0029,cohens_d,ns
