ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond1,Buy,36,2.524,61.1,1.317,0.492,52.8,0.23
000660,SK하이닉스,코스피,반도체,cond1,Buy,36,7.629,77.8,1.928,5.597,72.2,1.817
005380,현대차,코스피,자동차,cond1,Buy,30,1.939,63.3,1.096,0.244,60.0,0.136
005930,삼성전자,코스피,반도체,cond1,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond1,Buy,36,-0.804,44.4,-0.203,-2.835,33.3,-0.884
012450,한화에어로스페이스,코스피,기타,cond1,Buy,36,9.116,63.9,1.758,7.084,58.3,1.358
034020,두산에너빌리티,코스피,기타,cond1,Buy,36,5.843,63.9,1.26,3.811,52.8,0.966
035420,네이버,코스피,IT플랫폼,cond1,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond1,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond1,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond1,Buy,0,,,,,,
068270,셀트리온,코스피,바이오,cond1,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond1,Buy,12,1.348,66.7,0.663,0.652,58.3,0.229
196170,알테오젠,코스닥,바이오,cond1,Buy,36,10.23,66.7,1.247,8.851,58.3,1.093
207940,삼성바이오로직스,코스피,바이오,cond1,Buy,24,2.278,58.3,1.288,0.85,54.2,0.428
247540,에코프로비엠,코스닥,배터리,cond1,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond1,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond1,Buy,36,3.891,47.2,1.069,1.859,41.7,0.474
352820,HYBE,코스피,기타,cond1,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond1,Buy,0,,,,,,
000270,기아,코스피,자동차,cond2,Buy,19,1.386,57.9,0.644,-0.214,52.6,-0.086
000660,SK하이닉스,코스피,반도체,cond2,Buy,13,6.037,53.8,1.175,3.21,46.2,0.822
005380,현대차,코스피,자동차,cond2,Buy,14,1.285,57.1,0.692,0.353,57.1,0.178
005930,삼성전자,코스피,반도체,cond2,Buy,7,3.042,42.9,1.018,1.334,42.9,0.713
006400,삼성SDI,코스피,배터리,cond2,Buy,5,-3.083,20.0,-2.341,-1.306,60.0,-0.935
012450,한화에어로스페이스,코스피,기타,cond2,Buy,26,6.828,57.7,1.323,4.723,50.0,0.895
034020,두산에너빌리티,코스피,기타,cond2,Buy,14,8.664,64.3,1.343,5.642,57.1,1.048
035420,네이버,코스피,IT플랫폼,cond2,Buy,9,-4.924,11.1,-4.083,-5.6,0.0,-5.244
035720,카카오,코스피,IT플랫폼,cond2,Buy,6,-3.836,16.7,-1.594,-3.926,16.7,-1.928
051910,LG화학,코스피,기타,cond2,Buy,5,2.293,40.0,0.548,1.733,40.0,0.496
055550,신한지주,코스피,금융,cond2,Buy,12,4.888,75.0,1.962,1.108,41.7,0.42
068270,셀트리온,코스피,바이오,cond2,Buy,5,6.274,80.0,1.104,4.071,80.0,0.818
105560,KB금융,코스피,금융,cond2,Buy,17,2.765,70.6,1.24,0.415,58.8,0.172
196170,알테오젠,코스닥,바이오,cond2,Buy,24,5.754,62.5,1.163,6.386,62.5,1.262
207940,삼성바이오로직스,코스피,바이오,cond2,Buy,9,-1.073,44.4,-0.548,-0.987,44.4,-0.44
247540,에코프로비엠,코스닥,배터리,cond2,Buy,8,8.171,50.0,1.198,5.53,50.0,0.848
259960,크래프톤,코스피,기타,cond2,Buy,7,2.242,42.9,0.672,1.035,42.9,0.353
329180,HD현대중공업,코스피,기타,cond2,Buy,13,4.62,53.8,1.094,2.85,30.8,0.63
