bucket,cond,signal,n,share_pct,abs_mean,abs_hit,excess_mean,excess_hit,bench_abs,bench_excess
상승,cond1,Buy,15,3.2,10.909,80.0,7.285,66.7,5.83,1.12
상승,cond1,Sell,58,12.6,8.343,37.9,3.955,43.1,5.83,1.12
상승,cond2,Buy,96,20.8,5.259,65.6,1.148,50.0,5.83,1.12
상승,cond2,Sell,311,67.3,6.151,34.7,1.139,55.6,5.83,1.12
상승,cond3,Buy,202,43.7,5.206,64.4,0.787,47.5,5.83,1.12
상승,cond3,Sell,218,47.2,6.905,32.6,1.882,54.6,5.83,1.12
상승,cond4,Buy,207,44.8,5.123,64.3,0.73,46.9,5.83,1.12
상승,cond4,Sell,241,52.2,6.693,34.0,1.597,53.9,5.83,1.12
상승,cond4_no_reports,Buy,110,23.8,4.251,58.2,-0.012,45.5,5.83,1.12
상승,cond4_no_reports,Sell,325,70.3,6.604,32.9,1.634,53.2,5.83,1.12
하락,cond1,Buy,7,2.7,3.765,28.6,6.426,42.9,-1.73,1.22
하락,cond1,Sell,32,12.4,-4.278,71.9,-0.708,50.0,-1.73,1.22
하락,cond2,Buy,68,26.4,0.057,47.1,2.833,51.5,-1.73,1.22
하락,cond2,Sell,164,63.6,-2.658,67.7,0.31,53.7,-1.73,1.22
하락,cond3,Buy,115,44.6,-0.714,42.6,2.021,53.9,-1.73,1.22
하락,cond3,Sell,119,46.1,-2.63,66.4,0.473,55.5,-1.73,1.22
하락,cond4,Buy,118,45.7,-0.941,43.2,1.671,55.9,-1.73,1.22
하락,cond4,Sell,129,50.0,-2.516,68.2,0.724,57.4,-1.73,1.22
하락,cond4_no_reports,Buy,76,29.5,-0.546,44.7,2.086,56.6,-1.73,1.22
하락,cond4_no_reports,Sell,169,65.5,-2.515,68.0,0.555,55.6,-1.73,1.22
