sector,cond,signal,n,mean,hit_rate,sharpe
반도체,cond1,Buy,36,7.629,77.8,1.881
반도체,cond1,Neutral,36,2.708,52.8,1.019
반도체,cond1,Sell,0,,,
반도체,cond2,Buy,22,3.942,50.0,0.93
반도체,cond2,Neutral,50,5.708,72.0,1.828
반도체,cond2,Sell,0,,,
바이오,cond1,Buy,96,4.588,59.4,0.836
바이오,cond1,Neutral,12,3.013,41.7,0.824
바이오,cond1,Sell,0,,,
바이오,cond2,Buy,43,4.043,62.8,0.932
바이오,cond2,Neutral,65,4.658,53.8,0.791
바이오,cond2,Sell,0,,,
배터리,cond1,Buy,72,-0.924,38.9,-0.233
배터리,cond1,Neutral,36,4.986,55.6,1.03
배터리,cond1,Sell,0,,,
배터리,cond2,Buy,25,-0.755,40.0,-0.281
배터리,cond2,Neutral,74,2.51,47.3,0.526
배터리,cond2,Sell,9,-5.986,33.3,-1.586
자동차,cond1,Buy,72,2.43,61.1,1.205
자동차,cond1,Neutral,0,,,
자동차,cond1,Sell,0,,,
자동차,cond2,Buy,37,1.572,56.8,0.769
자동차,cond2,Neutral,35,3.337,65.7,1.681
자동차,cond2,Sell,0,,,
금융,cond1,Buy,54,2.875,72.2,1.356
금융,cond1,Neutral,18,2.407,50.0,1.036
금융,cond1,Sell,0,,,
금융,cond2,Buy,32,2.786,68.8,1.056
금융,cond2,Neutral,40,2.735,65.0,1.596
금융,cond2,Sell,0,,,
IT플랫폼,cond1,Buy,26,1.194,46.2,0.367
IT플랫폼,cond1,Neutral,46,1.934,47.8,0.56
IT플랫폼,cond1,Sell,0,,,
IT플랫폼,cond2,Buy,14,-4.279,14.3,-2.375
IT플랫폼,cond2,Neutral,56,3.154,53.6,0.879
IT플랫폼,cond2,Sell,2,1.656,100.0,7.319
기타,cond1,Buy,159,5.023,54.7,1.145
기타,cond1,Neutral,57,-0.144,43.9,-0.047
기타,cond1,Sell,0,,,
기타,cond2,Buy,75,3.628,49.3,0.747
기타,cond2,Neutral,136,3.56,52.2,0.953
기타,cond2,Sell,5,6.825,80.0,3.582
