ticker,name,market,sector,cond,n,mean,hit_rate,sharpe
000270,기아,코스피,자동차,cond1,36,2.524,61.1,1.285
000660,SK하이닉스,코스피,반도체,cond1,36,7.629,77.8,1.881
005380,현대차,코스피,자동차,cond1,36,2.336,61.1,1.114
005930,삼성전자,코스피,반도체,cond1,36,2.708,52.8,1.019
006400,삼성SDI,코스피,배터리,cond1,36,-0.804,44.4,-0.198
012450,한화에어로스페이스,코스피,기타,cond1,36,9.116,63.9,1.716
034020,두산에너빌리티,코스피,기타,cond1,36,5.843,63.9,1.229
035420,네이버,코스피,IT플랫폼,cond1,36,1.703,47.2,0.538
035720,카카오,코스피,IT플랫폼,cond1,36,1.631,47.2,0.454
051910,LG화학,코스피,기타,cond1,36,-0.274,38.9,-0.077
055550,신한지주,코스피,금융,cond1,36,2.684,58.3,1.192
068270,셀트리온,코스피,바이오,cond1,36,1.459,52.8,0.55
105560,KB금융,코스피,금융,cond1,36,2.832,75.0,1.354
196170,알테오젠,코스닥,바이오,cond1,36,10.23,66.7,1.216
207940,삼성바이오로직스,코스피,바이오,cond1,36,1.551,52.8,0.778
247540,에코프로비엠,코스닥,배터리,cond1,36,3.345,50.0,0.604
259960,크래프톤,코스피,기타,cond1,36,1.415,50.0,0.559
329180,HD현대중공업,코스피,기타,cond1,36,3.891,47.2,1.044
352820,HYBE,코스피,기타,cond1,36,1.964,47.2,0.497
373220,LG에너지솔루션,코스피,배터리,cond1,36,0.597,38.9,0.193
000270,기아,코스피,자동차,cond2,36,2.524,61.1,1.285
000660,SK하이닉스,코스피,반도체,cond2,36,7.629,77.8,1.881
005380,현대차,코스피,자동차,cond2,36,2.336,61.1,1.114
005930,삼성전자,코스피,반도체,cond2,36,2.708,52.8,1.019
006400,삼성SDI,코스피,배터리,cond2,36,-0.804,44.4,-0.198
012450,한화에어로스페이스,코스피,기타,cond2,36,9.116,63.9,1.716
034020,두산에너빌리티,코스피,기타,cond2,36,5.843,63.9,1.229
035420,네이버,코스피,IT플랫폼,cond2,36,1.703,47.2,0.538
035720,카카오,코스피,IT플랫폼,cond2,36,1.631,47.2,0.454
051910,LG화학,코스피,기타,cond2,36,-0.274,38.9,-0.077
055550,신한지주,코스피,금융,cond2,36,2.684,58.3,1.192
068270,셀트리온,코스피,바이오,cond2,36,1.459,52.8,0.55
105560,KB금융,코스피,금융,cond2,36,2.832,75.0,1.354
196170,알테오젠,코스닥,바이오,cond2,36,10.23,66.7,1.216
207940,삼성바이오로직스,코스피,바이오,cond2,36,1.551,52.8,0.778
247540,에코프로비엠,코스닥,배터리,cond2,36,3.345,50.0,0.604
259960,크래프톤,코스피,기타,cond2,36,1.415,50.0,0.559
329180,HD현대중공업,코스피,기타,cond2,36,3.891,47.2,1.044
352820,HYBE,코스피,기타,cond2,36,1.964,47.2,0.497
373220,LG에너지솔루션,코스피,배터리,cond2,36,0.597,38.9,0.193
