sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,68,5.061,64.7,1.493,3.045,55.9,1.148
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,1,17.662,100.0,,8.406,100.0,
반도체,cond2,Neutral,51,5.398,70.6,1.73,3.387,58.8,1.396
반도체,cond2,Sell,20,3.959,50.0,0.97,2.235,45.0,0.712
반도체,cond3,Buy,30,7.016,66.7,2.315,4.553,60.0,1.974
반도체,cond3,Neutral,34,4.762,67.6,1.25,3.148,58.8,1.073
반도체,cond3,Sell,8,-0.035,50.0,-0.013,-2.223,50.0,-1.21
반도체,cond4,Buy,15,4.585,53.3,1.605,1.794,40.0,0.81
반도체,cond4,Neutral,46,5.018,71.7,1.609,2.938,63.0,1.2
반도체,cond4,Sell,11,6.593,45.5,1.283,5.795,36.4,1.56
반도체,cond4_no_reports,Buy,0,,,,,,
반도체,cond4_no_reports,Neutral,49,5.581,73.5,2.113,3.125,61.2,1.422
반도체,cond4_no_reports,Sell,23,4.29,52.2,0.917,3.16,47.8,0.931
바이오,cond1,Buy,0,,,,,,
바이오,cond1,Neutral,81,2.364,54.3,0.756,0.416,43.2,0.13
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,0,,,,,,
바이오,cond2,Neutral,4,2.705,50.0,0.607,2.236,50.0,0.586
바이오,cond2,Sell,104,4.479,39.4,0.858,2.613,51.9,0.505
바이오,cond3,Buy,7,7.837,71.4,2.032,2.409,42.9,0.629
바이오,cond3,Neutral,31,1.619,58.1,0.74,-0.628,41.9,-0.28
바이오,cond3,Sell,70,5.308,41.4,0.864,4.047,48.6,0.669
바이오,cond4,Buy,0,,,,,,
바이오,cond4,Neutral,28,2.713,57.1,1.055,0.048,46.4,0.02
바이오,cond4,Sell,80,5.008,40.0,0.86,3.492,51.2,0.606
바이오,cond4_no_reports,Buy,0,,,,,,
바이오,cond4_no_reports,Neutral,5,9.566,60.0,2.278,5.637,40.0,1.396
바이오,cond4_no_reports,Sell,103,4.163,39.8,0.796,2.452,51.5,0.474
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,72,2.618,45.8,0.568,0.682,41.7,0.172
배터리,cond1,Sell,0,,,,,,
배터리,cond2,Buy,0,,,,,,
배터리,cond2,Neutral,24,1.53,45.8,0.504,0.114,45.8,0.049
배터리,cond2,Sell,84,0.908,56.0,0.201,-1.02,60.7,-0.263
배터리,cond3,Buy,14,-1.494,28.6,-1.327,-2.134,28.6,-1.902
배터리,cond3,Neutral,45,-1.843,37.8,-0.446,-3.714,26.7,-1.036
배터리,cond3,Sell,49,4.426,44.9,0.94,2.328,42.9,0.599
배터리,cond4,Buy,1,-1.368,0.0,,-3.393,0.0,
배터리,cond4,Neutral,47,-3.89,31.9,-1.441,-5.226,21.3,-2.369
배터리,cond4,Sell,60,4.954,45.0,1.012,2.768,43.3,0.666
배터리,cond4_no_reports,Buy,0,,,,,,
배터리,cond4_no_reports,Neutral,9,3.229,55.6,0.921,-0.373,33.3,-0.132
배터리,cond4_no_reports,Sell,99,0.848,54.5,0.197,-0.804,58.6,-0.22
자동차,cond1,Buy,0,,,,,,
자동차,cond1,Neutral,49,1.954,59.2,0.969,-0.34,53.1,-0.169
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,2,12.375,100.0,10.536,2.041,100.0,6.282
자동차,cond2,Neutral,48,2.997,62.5,1.655,1.092,58.3,0.599
자동차,cond2,Sell,22,0.289,45.5,0.136,-1.265,54.5,-0.508
자동차,cond3,Buy,35,3.704,68.6,1.967,1.336,62.9,0.761
자동차,cond3,Neutral,29,2.897,62.1,1.668,1.668,58.6,0.869
자동차,cond3,Sell,8,-4.837,75.0,-2.272,-8.306,87.5,-3.921
자동차,cond4,Buy,12,2.726,66.7,2.862,0.096,50.0,0.077
자동차,cond4,Neutral,46,3.256,65.2,1.55,1.595,63.0,0.742
자동차,cond4,Sell,14,-0.538,57.1,-0.263,-3.275,64.3,-1.697
자동차,cond4_no_reports,Buy,0,,,,,,
자동차,cond4_no_reports,Neutral,43,3.676,67.4,1.981,1.755,60.5,0.956
자동차,cond4_no_reports,Sell,29,0.582,48.3,0.284,-1.614,51.7,-0.731
