bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
상승,cond1,Buy,0,0.0,,,,,,,5.04,0.33
상승,cond1,Sell,0,0.0,,,,,,,5.04,0.33
상승,cond2,Buy,4,0.9,10.931,12.37,100.0,2.479,2.04,75.0,5.04,0.33
상승,cond2,Sell,301,65.2,6.025,3.33,35.2,1.18,-1.04,54.8,5.04,0.33
상승,cond3,Buy,115,24.9,4.708,2.91,63.5,-0.302,-1.38,42.6,5.04,0.33
상승,cond3,Sell,147,31.8,7.594,4.62,32.0,2.471,0.7,49.0,5.04,0.33
상승,cond4,Buy,39,8.4,4.836,4.28,64.1,0.168,-1.64,41.0,5.04,0.33
상승,cond4,Sell,196,42.4,7.35,4.29,33.2,2.501,0.73,48.5,5.04,0.33
상승,cond4_no_reports,Buy,0,0.0,,,,,,,5.04,0.33
상승,cond4_no_reports,Sell,312,67.5,6.014,2.63,36.2,1.204,-1.15,54.5,5.04,0.33
하락,cond1,Buy,0,0.0,,,,,,,-1.9,1.05
하락,cond1,Sell,0,0.0,,,,,,,-1.9,1.05
하락,cond2,Buy,2,0.8,7.081,7.08,100.0,9.124,9.12,100.0,-1.9,1.05
하락,cond2,Sell,178,69.0,-2.393,-3.6,66.9,0.579,-1.27,55.6,-1.9,1.05
하락,cond3,Buy,61,23.6,-0.752,-1.1,42.6,1.679,2.3,55.7,-1.9,1.05
하락,cond3,Sell,88,34.1,-0.89,-2.27,63.6,2.402,-0.69,51.1,-1.9,1.05
하락,cond4,Buy,19,7.4,0.301,-0.23,47.4,2.536,4.53,57.9,-1.9,1.05
하락,cond4,Sell,119,46.1,-1.514,-2.96,63.9,1.677,-0.91,52.9,-1.9,1.05
하락,cond4_no_reports,Buy,1,0.4,9.071,9.07,100.0,11.114,11.11,100.0,-1.9,1.05
하락,cond4_no_reports,Sell,188,72.9,-2.483,-3.88,67.0,0.473,-1.49,55.9,-1.9,1.05
