bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
2023,cond1,Buy,0,0.0,,,,,,,2.93,1.31
2023,cond1,Sell,0,0.0,,,,,,,2.93,1.31
2023,cond2,Buy,1,0.4,9.427,9.43,100.0,1.225,1.23,100.0,2.93,1.31
2023,cond2,Sell,141,58.8,3.206,0.8,44.7,1.455,-0.47,53.9,2.93,1.31
2023,cond3,Buy,54,22.5,2.697,2.68,59.3,1.162,-0.48,48.1,2.93,1.31
2023,cond3,Sell,70,29.2,4.641,2.6,40.0,2.631,0.88,47.1,2.93,1.31
2023,cond4,Buy,13,5.4,1.956,2.75,53.8,-1.09,-1.99,30.8,2.93,1.31
2023,cond4,Sell,102,42.5,4.253,1.48,40.2,2.275,0.88,48.0,2.93,1.31
2023,cond4_no_reports,Buy,0,0.0,,,,,,,2.93,1.31
2023,cond4_no_reports,Sell,158,65.8,3.049,0.97,43.7,1.321,-0.42,53.2,2.93,1.31
2024,cond1,Buy,0,0.0,,,,,,,0.32,1.03
2024,cond1,Sell,0,0.0,,,,,,,0.32,1.03
2024,cond2,Buy,0,0.0,,,,,,,0.32,1.03
2024,cond2,Sell,170,70.8,1.333,-0.58,52.4,2.007,0.12,49.4,0.32,1.03
2024,cond3,Buy,51,21.2,0.117,-0.23,45.1,1.138,2.64,56.9,0.32,1.03
2024,cond3,Sell,82,34.2,3.018,0.1,50.0,3.935,0.78,46.3,0.32,1.03
2024,cond4,Buy,15,6.2,1.541,2.0,53.3,2.937,4.96,66.7,0.32,1.03
2024,cond4,Sell,106,44.2,3.128,0.33,49.1,3.949,1.03,44.3,0.32,1.03
2024,cond4_no_reports,Buy,0,0.0,,,,,,,0.32,1.03
2024,cond4_no_reports,Sell,173,72.1,1.019,-0.86,54.9,1.807,-0.15,50.9,0.32,1.03
2025,cond1,Buy,0,0.0,,,,,,,4.35,-0.53
2025,cond1,Sell,0,0.0,,,,,,,4.35,-0.53
2025,cond2,Buy,5,2.1,9.692,9.07,100.0,5.388,7.13,80.0,4.35,-0.53
2025,cond2,Sell,168,70.0,4.219,1.23,43.5,-0.526,-3.76,61.9,4.35,-0.53
2025,cond3,Buy,71,29.6,4.844,3.08,62.0,-0.749,-2.3,39.4,4.35,-0.53
2025,cond3,Sell,83,34.6,5.61,3.38,41.0,0.817,-1.81,55.4,4.35,-0.53
2025,cond4,Buy,30,12.5,4.859,4.27,63.3,0.828,-1.51,43.3,4.35,-0.53
2025,cond4,Sell,107,44.6,4.627,0.97,44.9,0.366,-1.92,57.9,4.35,-0.53
2025,cond4_no_reports,Buy,1,0.4,9.071,9.07,100.0,11.114,11.11,100.0,4.35,-0.53
2025,cond4_no_reports,Sell,169,70.4,4.446,0.97,44.4,-0.336,-3.83,60.9,4.35,-0.53
