label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Neutral,523,1.12,53.7,1.279,2.583,54.1,0.784,0.328,48.2,0.421,0.587,45.3,0.192,31.8,20.5
cond1,전체,523,1.12,53.7,1.279,2.583,54.1,0.784,0.328,48.2,0.421,0.587,45.3,0.192,31.8,20.5
cond2,Buy,6,3.552,83.3,6.188,9.648,100.0,5.599,0.903,66.7,1.857,4.694,83.3,3.279,72.0,0.0
cond2,Neutral,235,1.043,54.9,1.321,3.405,58.7,1.172,0.411,50.6,0.636,1.461,51.5,0.56,48.4,1.2
cond2,Sell,479,1.054,45.1,1.083,2.897,47.0,0.686,0.328,52.6,0.371,0.957,55.1,0.241,70.5,3.6
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,63.3,10.8
cond3,Buy,176,0.798,55.7,1.024,2.815,56.2,1.052,0.055,49.4,0.087,0.384,47.2,0.161,72.0,0.3
cond3,Neutral,309,0.719,50.2,0.87,2.305,53.7,0.678,0.167,45.3,0.228,0.607,45.3,0.194,49.1,1.8
cond3,Sell,235,1.739,41.7,1.587,4.417,43.8,0.898,0.843,47.7,0.838,2.445,49.8,0.525,71.4,2.4
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,62.0,11.3
cond4,Buy,58,1.16,63.8,1.524,3.35,58.6,1.329,0.545,50.0,0.917,0.944,46.6,0.444,72.1,0.7
cond4,Neutral,347,0.758,51.3,0.95,2.279,54.5,0.734,0.102,46.4,0.15,0.246,45.2,0.086,49.9,2.1
cond4,Sell,315,1.4,43.8,1.333,4.001,44.8,0.861,0.611,49.2,0.633,2.19,50.2,0.501,71.7,1.6
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,61.2,11.1
cond4_no_reports,Buy,1,1.12,100.0,,9.071,100.0,,0.467,100.0,,11.114,100.0,,72.0,
cond4_no_reports,Neutral,219,1.085,57.5,1.425,3.777,63.0,1.346,0.458,49.8,0.754,1.617,52.5,0.636,49.5,2.2
cond4_no_reports,Sell,500,1.065,46.4,1.092,2.819,47.8,0.671,0.317,52.0,0.357,0.929,55.0,0.236,71.5,2.1
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,64.8,10.4
