ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond1,Buy,0,,,,,,
000660,SK하이닉스,코스피,반도체,cond1,Buy,0,,,,,,
005380,현대차,코스피,자동차,cond1,Buy,0,,,,,,
005930,삼성전자,코스피,반도체,cond1,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond1,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond1,Buy,0,,,,,,
034020,두산에너빌리티,코스피,기타,cond1,Buy,0,,,,,,
035420,네이버,코스피,IT플랫폼,cond1,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond1,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond1,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond1,Buy,0,,,,,,
068270,셀트리온,코스피,바이오,cond1,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond1,Buy,0,,,,,,
196170,알테오젠,코스닥,바이오,cond1,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond1,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond1,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond1,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond1,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond1,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond1,Buy,0,,,,,,
000270,기아,코스피,자동차,cond2,Buy,1,9.427,100.0,,1.225,100.0,
000660,SK하이닉스,코스피,반도체,cond2,Buy,1,17.662,100.0,,8.406,100.0,
005380,현대차,코스피,자동차,cond2,Buy,1,15.323,100.0,,2.856,100.0,
005930,삼성전자,코스피,반도체,cond2,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond2,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond2,Buy,0,,,,,,
034020,두산에너빌리티,코스피,기타,cond2,Buy,0,,,,,,
035420,네이버,코스피,IT플랫폼,cond2,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond2,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond2,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond2,Buy,1,9.071,100.0,,11.114,100.0,
068270,셀트리온,코스피,바이오,cond2,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond2,Buy,2,3.202,100.0,4.254,2.282,50.0,1.18
196170,알테오젠,코스닥,바이오,cond2,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond2,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond2,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond2,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond2,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond2,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond2,Buy,0,,,,,,
000270,기아,코스피,자동차,cond3,Buy,14,4.981,71.4,3.155,2.072,57.1,1.006
000660,SK하이닉스,코스피,반도체,cond3,Buy,12,10.41,75.0,3.069,7.801,75.0,3.221
005380,현대차,코스피,자동차,cond3,Buy,21,2.853,66.7,1.383,0.845,66.7,0.542
005930,삼성전자,코스피,반도체,cond3,Buy,18,4.753,61.1,1.779,2.387,50.0,1.152
006400,삼성SDI,코스피,배터리,cond3,Buy,8,-2.423,37.5,-1.902,-3.191,25.0,-2.792
012450,한화에어로스페이스,코스피,기타,cond3,Buy,5,6.07,60.0,1.788,1.62,60.0,0.659
034020,두산에너빌리티,코스피,기타,cond3,Buy,2,-8.516,0.0,-8.722,-7.885,0.0,-19.063
