sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,72,5.168,65.3,1.523,3.136,58.3,1.2
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,11,8.773,81.8,2.833,5.138,63.6,2.345
반도체,cond2,Neutral,20,2.126,60.0,0.826,0.846,55.0,0.374
반도체,cond2,Sell,41,5.685,36.6,1.507,3.717,41.5,1.3
반도체,cond3,Buy,39,4.961,56.4,1.298,2.937,56.4,1.013
반도체,cond3,Neutral,11,9.154,100.0,4.537,6.557,81.8,3.347
반도체,cond3,Sell,22,3.543,36.4,1.137,1.779,50.0,0.764
반도체,cond4,Buy,39,5.045,56.4,1.267,2.834,53.8,0.926
반도체,cond4,Neutral,3,6.691,100.0,6.287,-0.479,33.3,-0.783
반도체,cond4,Sell,30,5.176,26.7,1.911,3.891,33.3,1.883
반도체,cond4_no_reports,Buy,27,4.464,59.3,1.08,2.243,55.6,0.701
반도체,cond4_no_reports,Neutral,0,,,,,,
반도체,cond4_no_reports,Sell,45,5.591,31.1,1.923,3.672,40.0,1.657
바이오,cond1,Buy,4,10.395,75.0,2.017,9.499,75.0,1.698
바이오,cond1,Neutral,104,4.183,56.7,0.806,2.334,47.1,0.457
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,16,1.548,56.2,0.355,2.55,56.2,0.701
바이오,cond2,Neutral,25,1.848,44.0,0.798,-0.379,44.0,-0.181
바이오,cond2,Sell,67,6.055,34.3,1.0,3.722,52.2,0.608
바이오,cond3,Buy,34,1.481,52.9,0.448,-0.094,47.1,-0.031
바이오,cond3,Neutral,12,0.014,50.0,0.007,-1.4,41.7,-0.959
바이오,cond3,Sell,62,6.872,35.5,1.098,4.85,50.0,0.772
바이오,cond4,Buy,40,4.712,65.0,1.295,2.784,50.0,0.679
바이오,cond4,Neutral,3,1.589,33.3,0.451,3.557,33.3,1.039
바이오,cond4,Sell,65,4.36,44.6,0.723,2.441,52.3,0.424
바이오,cond4_no_reports,Buy,45,4.031,60.0,1.104,2.228,48.9,0.55
바이오,cond4_no_reports,Neutral,3,0.861,33.3,0.485,1.449,33.3,1.55
바이오,cond4_no_reports,Sell,60,4.878,40.0,0.786,2.934,51.7,0.495
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,75,0.137,42.7,0.039,-1.918,34.7,-0.654
배터리,cond1,Sell,33,3.112,51.5,0.567,1.845,45.5,0.391
배터리,cond2,Buy,9,-1.545,44.4,-0.912,-1.026,44.4,-0.597
배터리,cond2,Neutral,8,7.455,62.5,1.784,4.52,62.5,1.339
배터리,cond2,Sell,91,0.739,54.9,0.168,-1.207,61.5,-0.323
배터리,cond3,Buy,23,-1.42,39.1,-0.839,-2.111,39.1,-1.121
배터리,cond3,Neutral,15,1.003,40.0,0.274,-0.841,33.3,-0.272
배터리,cond3,Sell,70,1.866,52.9,0.382,-0.311,57.1,-0.076
배터리,cond4,Buy,21,0.519,42.9,0.193,-1.038,38.1,-0.528
배터리,cond4,Neutral,1,-13.939,0.0,,-13.396,0.0,
배터리,cond4,Sell,86,1.349,53.5,0.297,-0.555,58.1,-0.143
배터리,cond4_no_reports,Buy,17,0.916,41.2,0.292,-0.481,35.3,-0.192
배터리,cond4_no_reports,Neutral,0,,,,,,
배터리,cond4_no_reports,Sell,91,1.071,53.8,0.242,-0.822,58.2,-0.218
자동차,cond1,Buy,2,-0.881,0.0,-41.54,-2.51,0.0,-4.51
자동차,cond1,Neutral,70,2.525,62.9,1.268,0.481,57.1,0.234
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,32,2.187,62.5,1.222,0.868,59.4,0.433
자동차,cond2,Neutral,1,4.511,100.0,,4.469,100.0,
자동차,cond2,Sell,39,2.576,41.0,1.199,-0.091,48.7,-0.044
자동차,cond3,Buy,45,1.274,57.8,0.691,-0.055,60.0,-0.027
자동차,cond3,Neutral,1,22.273,100.0,,8.826,100.0,
자동차,cond3,Sell,26,3.667,34.6,1.975,0.859,53.8,0.435
자동차,cond4,Buy,44,1.485,59.1,0.821,0.547,56.8,0.27
자동차,cond4,Neutral,0,,,,,,
자동차,cond4,Sell,28,3.914,35.7,1.81,0.164,46.4,0.079
자동차,cond4_no_reports,Buy,29,1.435,55.2,0.755,0.53,55.2,0.253
자동차,cond4_no_reports,Neutral,1,2.755,100.0,,5.082,100.0,
자동차,cond4_no_reports,Sell,42,3.109,35.7,1.526,0.196,45.2,0.097
금융,cond1,Buy,0,,,,,,
금융,cond1,Neutral,72,2.758,66.7,1.31,0.726,50.0,0.339
금융,cond1,Sell,0,,,,,,
