category,group_a,group_b,n_a,n_b,metric,metric_type,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size,effect_size_type,significance
core,cond4,cond1,320,22,return_20d,absolute,2.9388,8.6357,-5.6969,mann_whitney,2694.5,0.0659,-0.2345,cliffs_delta,.
core,cond4,cond1,320,22,return_20d,absolute,2.9388,8.6357,-5.6969,welch_ttest,-1.6715,0.1083,-0.4523,cohens_d,ns
core,cond4,cond1,320,22,excess_return_20d,excess,1.0285,7.0113,-5.9828,mann_whitney,2744.5,0.084,-0.2203,cliffs_delta,.
core,cond4,cond1,320,22,excess_return_20d,excess,1.0285,7.0113,-5.9828,welch_ttest,-1.7652,0.091,-0.494,cohens_d,.
core,cond4,GoldenCross,320,471,return_20d,absolute,2.9388,2.3741,0.5647,mann_whitney,78795.0,0.2762,0.0456,cliffs_delta,ns
core,cond4,GoldenCross,320,471,return_20d,absolute,2.9388,2.3741,0.5647,welch_ttest,0.5945,0.5523,0.042,cohens_d,ns
core,cond4,GoldenCross,320,471,excess_return_20d,excess,1.0285,0.7982,0.2303,mann_whitney,77555.0,0.4866,0.0291,cliffs_delta,ns
core,cond4,GoldenCross,320,471,excess_return_20d,excess,1.0285,0.7982,0.2303,welch_ttest,0.2603,0.7947,0.0186,cohens_d,ns
core,cond4,Consensus,320,2752,return_20d,absolute,2.9388,1.6787,1.2601,mann_whitney,477454.5,0.0134,0.0843,cliffs_delta,*
core,cond4,Consensus,320,2752,return_20d,absolute,2.9388,1.6787,1.2601,welch_ttest,1.7281,0.0848,0.1034,cohens_d,.
core,cond4,Consensus,320,2752,excess_return_20d,excess,1.0285,0.3535,0.675,mann_whitney,463634.0,0.1206,0.0529,cliffs_delta,ns
core,cond4,Consensus,320,2752,excess_return_20d,excess,1.0285,0.3535,0.675,welch_ttest,0.9723,0.3315,0.0611,cohens_d,ns
auxiliary,cond2,cond1,159,22,return_20d,absolute,3.5834,8.6357,-5.0523,mann_whitney,1385.5,0.115,-0.2078,cliffs_delta,ns
auxiliary,cond2,cond1,159,22,return_20d,absolute,3.5834,8.6357,-5.0523,welch_ttest,-1.4472,0.1602,-0.3808,cohens_d,ns
auxiliary,cond2,cond1,159,22,excess_return_20d,excess,2.0443,7.0113,-4.967,mann_whitney,1452.5,0.1988,-0.1695,cliffs_delta,ns
auxiliary,cond2,cond1,159,22,excess_return_20d,excess,2.0443,7.0113,-4.967,welch_ttest,-1.4374,0.1632,-0.4007,cohens_d,ns
auxiliary,cond3,cond1,328,22,return_20d,absolute,2.5547,8.6357,-6.081,mann_whitney,2699.5,0.0481,-0.2518,cliffs_delta,*
auxiliary,cond3,cond1,328,22,return_20d,absolute,2.5547,8.6357,-6.081,welch_ttest,-1.7867,0.0873,-0.4931,cohens_d,.
auxiliary,cond3,cond1,328,22,excess_return_20d,excess,0.7298,7.0113,-6.2815,mann_whitney,2793.5,0.0764,-0.2257,cliffs_delta,.
auxiliary,cond3,cond1,328,22,excess_return_20d,excess,0.7298,7.0113,-6.2815,welch_ttest,-1.8573,0.0764,-0.5418,cohens_d,.
auxiliary,cond4,cond4_no_reports,320,237,return_20d,absolute,2.9388,2.7706,0.1682,mann_whitney,38374.0,0.8092,0.012,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,320,237,return_20d,absolute,2.9388,2.7706,0.1682,welch_ttest,0.1589,0.8738,0.0136,cohens_d,ns
auxiliary,cond4,cond4_no_reports,320,237,excess_return_20d,excess,1.0285,1.0699,-0.0414,mann_whitney,38241.5,0.8643,0.0085,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,320,237,excess_return_20d,excess,1.0285,1.0699,-0.0414,welch_ttest,-0.04,0.9681,-0.0034,cohens_d,ns
