ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond1,Buy,2,-0.881,0.0,-41.54,-2.51,0.0,-4.51
000660,SK하이닉스,코스피,반도체,cond1,Buy,0,,,,,,
005380,현대차,코스피,자동차,cond1,Buy,0,,,,,,
005930,삼성전자,코스피,반도체,cond1,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond1,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond1,Buy,14,11.13,78.6,2.375,8.776,64.3,1.888
034020,두산에너빌리티,코스피,기타,cond1,Buy,2,-2.826,0.0,-6.129,-0.796,50.0,-1.21
035420,네이버,코스피,IT플랫폼,cond1,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond1,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond1,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond1,Buy,0,,,,,,
068270,셀트리온,코스피,바이오,cond1,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond1,Buy,0,,,,,,
196170,알테오젠,코스닥,바이오,cond1,Buy,4,10.395,75.0,2.017,9.499,75.0,1.698
207940,삼성바이오로직스,코스피,바이오,cond1,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond1,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond1,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond1,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond1,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond1,Buy,0,,,,,,
000270,기아,코스피,자동차,cond2,Buy,18,2.29,61.1,1.207,0.818,55.6,0.369
000660,SK하이닉스,코스피,반도체,cond2,Buy,8,8.928,87.5,2.78,4.973,62.5,2.172
005380,현대차,코스피,자동차,cond2,Buy,14,2.054,64.3,1.201,0.931,64.3,0.526
005930,삼성전자,코스피,반도체,cond2,Buy,3,8.36,66.7,2.434,5.58,66.7,2.349
006400,삼성SDI,코스피,배터리,cond2,Buy,4,-1.31,50.0,-1.348,-0.977,50.0,-0.811
012450,한화에어로스페이스,코스피,기타,cond2,Buy,20,12.456,65.0,2.051,10.72,60.0,1.757
034020,두산에너빌리티,코스피,기타,cond2,Buy,10,6.401,70.0,1.307,2.778,50.0,0.758
035420,네이버,코스피,IT플랫폼,cond2,Buy,8,-4.611,12.5,-3.666,-5.366,0.0,-4.783
035720,카카오,코스피,IT플랫폼,cond2,Buy,3,8.839,33.3,1.054,6.14,33.3,1.02
051910,LG화학,코스피,기타,cond2,Buy,2,-0.978,50.0,-0.494,1.306,50.0,0.785
055550,신한지주,코스피,금융,cond2,Buy,17,3.803,70.6,1.516,0.44,41.2,0.17
068270,셀트리온,코스피,바이오,cond2,Buy,2,21.408,100.0,4.243,15.875,100.0,2.599
105560,KB금융,코스피,금융,cond2,Buy,19,1.528,63.2,0.626,-0.659,52.6,-0.253
196170,알테오젠,코스닥,바이오,cond2,Buy,10,-1.268,50.0,-0.29,0.548,50.0,0.159
207940,삼성바이오로직스,코스피,바이오,cond2,Buy,4,-1.341,50.0,-0.589,0.894,50.0,0.326
247540,에코프로비엠,코스닥,배터리,cond2,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond2,Buy,5,0.204,60.0,0.118,0.802,60.0,0.37
329180,HD현대중공업,코스피,기타,cond2,Buy,6,0.711,50.0,0.263,-0.791,33.3,-0.38
352820,HYBE,코스피,기타,cond2,Buy,1,-7.371,0.0,,-5.327,0.0,
