label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Buy,22,0.098,40.9,0.114,8.636,63.6,1.958,-0.697,45.5,-0.803,7.011,59.1,1.596,75.0,0.0
cond1,Neutral,608,0.937,53.8,1.068,2.81,55.3,0.763,0.188,47.9,0.242,0.771,45.9,0.223,55.0,0.0
cond1,Sell,90,2.218,42.2,1.952,3.855,50.0,0.854,1.783,45.6,1.802,2.297,45.6,0.578,75.0,0.0
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,58.1,7.3
cond2,Buy,164,1.358,57.9,1.59,3.102,57.9,0.884,0.772,53.7,0.931,1.847,50.6,0.533,73.4,3.7
cond2,Neutral,81,-0.265,44.4,-0.372,3.209,58.0,1.126,-0.667,37.0,-1.156,1.503,54.3,0.608,56.2,2.8
cond2,Sell,475,1.2,44.8,1.249,3.109,46.1,0.763,0.393,51.2,0.47,0.853,54.9,0.227,70.8,4.9
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,69.8,6.7
cond3,Buy,317,0.854,54.3,1.017,3.058,56.5,0.887,0.263,49.5,0.342,1.235,49.8,0.378,74.9,2.6
cond3,Neutral,66,-0.969,37.9,-1.472,1.269,47.0,0.499,-1.436,34.8,-2.585,-0.427,47.0,-0.186,58.0,4.1
cond3,Sell,337,1.675,42.4,1.661,3.538,44.5,0.815,0.804,49.6,0.912,1.384,54.9,0.345,71.9,4.7
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,71.9,6.0
cond4,Buy,325,0.552,51.7,0.689,2.921,56.6,0.878,-0.051,48.0,-0.071,1.072,50.2,0.346,75.2,1.5
cond4,Neutral,25,-0.674,36.0,-1.763,0.314,56.0,0.17,-0.662,36.0,-2.22,0.125,48.0,0.064,57.8,4.1
cond4,Sell,370,1.645,41.9,1.614,3.482,45.9,0.809,0.79,50.0,0.87,1.292,55.1,0.322,74.6,2.0
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,74.2,3.7
cond4_no_reports,Buy,186,0.33,50.5,0.395,2.291,52.7,0.723,-0.127,50.0,-0.161,0.845,50.0,0.272,75.0,0.0
cond4_no_reports,Neutral,40,0.107,47.5,0.26,2.453,72.5,1.337,-0.691,37.5,-1.778,1.193,52.5,0.574,55.2,1.1
cond4_no_reports,Sell,494,1.428,42.9,1.477,3.485,44.9,0.838,0.628,51.0,0.746,1.265,54.0,0.331,74.7,1.8
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,73.7,4.7
