label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Neutral,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,0.0,0.0
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,0.0,0.0
cond2,Buy,67,0.526,52.2,0.629,3.945,59.7,1.291,0.05,44.8,0.076,1.36,52.2,0.496,79.3,6.1
cond2,Neutral,215,1.04,54.9,1.324,2.659,56.3,0.868,0.529,52.1,0.756,0.965,49.3,0.344,64.1,11.9
cond2,Sell,438,1.17,44.7,1.19,3.218,45.9,0.757,0.325,52.5,0.368,1.213,54.3,0.304,81.9,6.5
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,76.3,11.7
cond3,Buy,234,0.565,52.1,0.694,2.686,54.3,0.875,0.19,49.1,0.28,0.525,48.7,0.188,81.2,5.3
cond3,Neutral,194,1.543,57.7,2.007,3.277,57.7,0.972,0.439,49.5,0.604,1.177,45.9,0.369,60.6,13.3
cond3,Sell,292,1.163,46.2,1.092,3.361,45.9,0.732,0.443,52.4,0.467,1.639,52.7,0.382,81.4,7.0
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,75.7,12.7
cond4,Buy,252,0.886,56.0,1.076,3.322,57.9,1.041,0.334,49.6,0.474,1.284,51.2,0.441,82.3,5.2
cond4,Neutral,203,0.959,52.7,1.281,3.147,58.1,1.002,0.139,46.8,0.192,1.11,46.3,0.347,64.7,14.0
cond4,Sell,265,1.333,46.0,1.217,2.905,49.8,0.611,0.554,50.9,0.578,1.06,55.5,0.245,82.7,5.5
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,77.5,11.8
cond4_no_reports,Buy,109,1.314,62.4,1.788,3.292,57.8,1.117,0.773,53.2,1.24,1.451,53.2,0.56,82.2,4.8
cond4_no_reports,Neutral,248,0.84,54.4,1.071,3.195,59.3,1.036,0.044,48.0,0.062,1.052,49.2,0.351,67.2,14.4
cond4_no_reports,Sell,363,1.156,47.7,1.114,3.015,47.9,0.674,0.452,52.3,0.49,1.131,55.6,0.274,83.2,5.9
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,77.5,12.2
