sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,72,5.168,65.3,1.523,3.136,58.3,1.2
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,10,4.581,50.0,1.326,1.275,50.0,0.519
반도체,cond2,Neutral,20,6.203,75.0,1.973,3.688,55.0,1.481
반도체,cond2,Sell,42,4.816,35.7,1.352,3.317,38.1,1.207
반도체,cond3,Buy,39,5.456,61.5,1.435,2.541,53.8,0.879
반도체,cond3,Neutral,22,7.11,77.3,2.41,5.784,68.2,2.53
반도체,cond3,Sell,11,0.265,45.5,0.11,-0.047,45.5,-0.025
반도체,cond4,Buy,43,6.162,65.1,1.614,3.874,60.5,1.291
반도체,cond4,Neutral,22,4.854,72.7,1.765,2.771,59.1,1.355
반도체,cond4,Sell,7,0.049,57.1,0.022,-0.247,57.1,-0.184
반도체,cond4_no_reports,Buy,23,4.289,60.9,1.186,2.36,52.2,0.846
반도체,cond4_no_reports,Neutral,23,7.11,69.6,1.711,3.763,56.5,1.149
반도체,cond4_no_reports,Sell,26,4.228,34.6,1.784,3.269,34.6,1.876
바이오,cond1,Buy,0,,,,,,
바이오,cond1,Neutral,108,4.413,57.4,0.852,2.599,48.1,0.508
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,1,8.746,100.0,,0.544,100.0,
바이오,cond2,Neutral,21,3.648,66.7,1.133,3.76,57.1,1.316
바이오,cond2,Sell,86,4.55,43.0,0.813,2.339,54.7,0.42
바이오,cond3,Buy,20,4.278,60.0,1.377,1.597,55.0,0.529
바이오,cond3,Neutral,20,2.389,65.0,1.023,1.381,45.0,0.599
바이오,cond3,Sell,68,5.048,42.6,0.815,3.252,52.9,0.53
바이오,cond4,Buy,22,4.831,72.7,1.678,1.442,54.5,0.499
바이오,cond4,Neutral,28,4.692,64.3,1.305,3.899,50.0,0.939
바이오,cond4,Sell,58,4.121,48.3,0.642,2.41,55.2,0.392
바이오,cond4_no_reports,Buy,8,8.485,75.0,2.444,4.956,50.0,1.415
바이오,cond4_no_reports,Neutral,39,3.239,61.5,0.974,1.513,51.3,0.407
바이오,cond4_no_reports,Sell,61,4.63,44.3,0.74,2.984,54.1,0.495
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,108,1.046,44.4,0.247,-0.768,40.7,-0.214
배터리,cond1,Sell,0,,,,,,
배터리,cond2,Buy,6,14.124,66.7,2.112,9.586,66.7,1.457
배터리,cond2,Neutral,15,1.432,40.0,0.314,-0.417,40.0,-0.107
배터리,cond2,Sell,87,0.078,55.2,0.02,-1.543,60.9,-0.479
배터리,cond3,Buy,14,-1.54,28.6,-0.921,-1.925,35.7,-1.331
배터리,cond3,Neutral,21,0.686,47.6,0.162,-2.071,33.3,-0.588
배터리,cond3,Sell,73,1.646,53.4,0.36,-0.171,56.2,-0.044
배터리,cond4,Buy,12,1.409,50.0,0.426,-0.593,50.0,-0.226
배터리,cond4,Neutral,18,0.55,33.3,0.116,-1.031,27.8,-0.245
배터리,cond4,Sell,78,1.105,53.8,0.258,-0.734,57.7,-0.204
배터리,cond4_no_reports,Buy,2,-4.444,0.0,-4.753,-3.572,50.0,-2.242
배터리,cond4_no_reports,Neutral,13,1.433,53.8,0.423,-2.18,30.8,-0.801
배터리,cond4_no_reports,Sell,93,1.11,53.8,0.253,-0.51,58.1,-0.137
자동차,cond1,Buy,0,,,,,,
자동차,cond1,Neutral,72,2.43,61.1,1.234,0.398,55.6,0.196
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,22,2.923,63.6,1.829,0.866,54.5,0.55
자동차,cond2,Neutral,46,2.795,63.0,1.349,0.508,56.5,0.235
자동차,cond2,Sell,4,-4.478,75.0,-2.211,-3.434,50.0,-1.16
자동차,cond3,Buy,48,2.806,62.5,1.581,0.752,56.2,0.433
자동차,cond3,Neutral,23,1.652,56.5,0.691,-0.556,52.2,-0.215
자동차,cond3,Sell,1,2.273,0.0,,5.349,0.0,
자동차,cond4,Buy,49,2.468,59.2,1.382,0.886,57.1,0.475
자동차,cond4,Neutral,19,2.271,63.2,0.917,-0.997,47.4,-0.398
자동차,cond4,Sell,4,2.713,25.0,1.383,1.053,25.0,0.589
자동차,cond4_no_reports,Buy,24,3.125,58.3,1.899,2.036,58.3,1.103
자동차,cond4_no_reports,Neutral,39,2.821,66.7,1.314,0.37,59.0,0.174
자동차,cond4_no_reports,Sell,9,-1.118,55.6,-0.605,-3.845,66.7,-2.168
금융,cond1,Buy,0,,,,,,
금융,cond1,Neutral,72,2.758,66.7,1.31,0.726,50.0,0.339
금융,cond1,Sell,0,,,,,,
