category,group_a,group_b,n_a,n_b,metric,metric_type,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size,effect_size_type,significance
core,cond4,GoldenCross,262,471,return_20d,absolute,3.2675,2.3741,0.8934,mann_whitney,66269.0,0.0964,0.074,cliffs_delta,.
core,cond4,GoldenCross,262,471,return_20d,absolute,3.2675,2.3741,0.8934,welch_ttest,0.9267,0.3544,0.0674,cohens_d,ns
core,cond4,GoldenCross,262,471,excess_return_20d,excess,1.0774,0.7982,0.2792,mann_whitney,64346.0,0.3358,0.0429,cliffs_delta,ns
core,cond4,GoldenCross,262,471,excess_return_20d,excess,1.0774,0.7982,0.2792,welch_ttest,0.3177,0.7508,0.0232,cohens_d,ns
core,cond4,Consensus,262,2752,return_20d,absolute,3.2675,1.6787,1.5888,mann_whitney,403044.5,0.0016,0.118,cliffs_delta,**
core,cond4,Consensus,262,2752,return_20d,absolute,3.2675,1.6787,1.5888,welch_ttest,2.1253,0.0343,0.1312,cohens_d,*
core,cond4,Consensus,262,2752,excess_return_20d,excess,1.0774,0.3535,0.7239,mann_whitney,385160.0,0.0671,0.0684,cliffs_delta,.
core,cond4,Consensus,262,2752,excess_return_20d,excess,1.0774,0.3535,0.7239,welch_ttest,1.0543,0.2925,0.0663,cohens_d,ns
auxiliary,cond4,cond4_no_reports,262,115,return_20d,absolute,3.2675,3.9428,-0.6753,mann_whitney,14758.0,0.7531,-0.0204,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,262,115,return_20d,absolute,3.2675,3.9428,-0.6753,welch_ttest,-0.5237,0.601,-0.0586,cohens_d,ns
auxiliary,cond4,cond4_no_reports,262,115,excess_return_20d,excess,1.0774,1.807,-0.7296,mann_whitney,14482.5,0.5502,-0.0387,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,262,115,excess_return_20d,excess,1.0774,1.807,-0.7296,welch_ttest,-0.62,0.5359,-0.0691,cohens_d,ns
