ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond1,Buy,0,,,,,,
000660,SK하이닉스,코스피,반도체,cond1,Buy,0,,,,,,
005380,현대차,코스피,자동차,cond1,Buy,0,,,,,,
005930,삼성전자,코스피,반도체,cond1,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond1,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond1,Buy,0,,,,,,
034020,두산에너빌리티,코스피,기타,cond1,Buy,0,,,,,,
035420,네이버,코스피,IT플랫폼,cond1,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond1,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond1,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond1,Buy,0,,,,,,
068270,셀트리온,코스피,바이오,cond1,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond1,Buy,0,,,,,,
196170,알테오젠,코스닥,바이오,cond1,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond1,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond1,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond1,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond1,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond1,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond1,Buy,0,,,,,,
000270,기아,코스피,자동차,cond2,Buy,14,4.13,64.3,2.639,0.729,50.0,0.47
000660,SK하이닉스,코스피,반도체,cond2,Buy,7,9.334,71.4,2.222,3.548,57.1,1.238
005380,현대차,코스피,자동차,cond2,Buy,15,2.853,73.3,1.976,1.146,60.0,0.709
005930,삼성전자,코스피,반도체,cond2,Buy,7,4.332,57.1,1.693,2.912,57.1,1.333
006400,삼성SDI,코스피,배터리,cond2,Buy,2,6.493,50.0,1.897,4.839,100.0,2.753
012450,한화에어로스페이스,코스피,기타,cond2,Buy,5,15.133,80.0,2.275,13.867,80.0,2.02
034020,두산에너빌리티,코스피,기타,cond2,Buy,1,-2.344,0.0,,-5.188,0.0,
035420,네이버,코스피,IT플랫폼,cond2,Buy,3,-0.84,33.3,-0.657,-4.606,0.0,-4.15
035720,카카오,코스피,IT플랫폼,cond2,Buy,2,-8.417,0.0,-7.063,-6.508,0.0,-6.349
051910,LG화학,코스피,기타,cond2,Buy,1,-6.298,0.0,,-10.215,0.0,
055550,신한지주,코스피,금융,cond2,Buy,5,6.081,100.0,3.626,1.636,60.0,1.158
068270,셀트리온,코스피,바이오,cond2,Buy,1,8.746,100.0,,0.544,100.0,
105560,KB금융,코스피,금융,cond2,Buy,1,-6.591,0.0,,-14.468,0.0,
196170,알테오젠,코스닥,바이오,cond2,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond2,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond2,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond2,Buy,5,2.51,60.0,0.619,0.678,60.0,0.195
329180,HD현대중공업,코스피,기타,cond2,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond2,Buy,2,3.096,50.0,2.311,-1.797,50.0,-1.492
373220,LG에너지솔루션,코스피,배터리,cond2,Buy,0,,,,,,
000270,기아,코스피,자동차,cond3,Buy,26,2.835,61.5,1.563,0.26,50.0,0.132
000660,SK하이닉스,코스피,반도체,cond3,Buy,23,6.352,69.6,1.427,3.722,65.2,1.093
005380,현대차,코스피,자동차,cond3,Buy,23,1.379,56.5,0.651,-0.119,56.5,-0.061
