bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
상승,cond1,Buy,0,0.0,,,,,,,5.83,1.12
상승,cond1,Sell,0,0.0,,,,,,,5.83,1.12
상승,cond2,Buy,42,9.1,6.817,5.94,69.0,1.288,-0.1,50.0,5.83,1.12
상승,cond2,Sell,290,62.8,6.161,3.21,34.5,1.483,-1.03,53.8,5.83,1.12
상승,cond3,Buy,147,31.8,5.056,4.27,61.9,0.19,-1.34,44.2,5.83,1.12
상승,cond3,Sell,186,40.3,7.055,4.08,32.3,2.406,0.47,48.9,5.83,1.12
상승,cond4,Buy,161,34.8,5.427,3.08,63.4,0.861,-1.01,46.0,5.83,1.12
상승,cond4,Sell,169,36.6,6.979,3.89,34.9,2.227,0.17,49.7,5.83,1.12
상승,cond4_no_reports,Buy,69,14.9,5.366,2.93,60.9,0.957,-0.61,49.3,5.83,1.12
상승,cond4_no_reports,Sell,236,51.1,6.432,3.39,35.2,1.88,-0.74,53.0,5.83,1.12
하락,cond1,Buy,0,0.0,,,,,,,-1.73,1.22
하락,cond1,Sell,0,0.0,,,,,,,-1.73,1.22
하락,cond2,Buy,25,9.7,-0.879,-2.1,44.0,1.482,1.63,56.0,-1.73,1.22
하락,cond2,Sell,148,57.4,-2.548,-3.8,68.2,0.682,-1.32,55.4,-1.73,1.22
하락,cond3,Buy,87,33.7,-1.318,-1.43,41.4,1.091,1.75,56.3,-1.73,1.22
하락,cond3,Sell,106,41.1,-3.121,-4.64,69.8,0.292,-1.87,59.4,-1.73,1.22
하락,cond4,Buy,91,35.3,-0.403,-0.23,48.4,2.032,2.23,60.4,-1.73,1.22
하락,cond4,Sell,96,37.2,-4.269,-5.91,76.0,-0.994,-2.97,65.6,-1.73,1.22
하락,cond4_no_reports,Buy,40,15.5,-0.285,0.63,52.5,2.303,2.56,60.0,-1.73,1.22
하락,cond4_no_reports,Sell,127,49.2,-3.335,-4.78,71.7,-0.26,-1.96,60.6,-1.73,1.22
