bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
2023,cond1,Buy,0,0.0,,,,,,,3.01,1.24
2023,cond1,Sell,0,0.0,,,,,,,3.01,1.24
2023,cond2,Buy,21,8.8,7.607,3.65,71.4,5.063,1.74,66.7,3.01,1.24
2023,cond2,Sell,143,59.6,3.046,1.12,41.3,1.235,-0.32,51.7,3.01,1.24
2023,cond3,Buy,61,25.4,3.07,2.83,62.3,1.425,1.23,54.1,3.01,1.24
2023,cond3,Sell,116,48.3,4.221,1.14,41.4,2.256,0.27,49.1,3.01,1.24
2023,cond4,Buy,72,30.0,2.475,1.66,62.5,1.09,0.39,51.4,3.01,1.24
2023,cond4,Sell,92,38.3,2.997,0.38,47.8,1.021,-0.31,52.2,3.01,1.24
2023,cond4_no_reports,Buy,29,12.1,2.809,1.83,55.2,1.871,1.01,51.7,3.01,1.24
2023,cond4_no_reports,Sell,125,52.1,3.161,1.12,41.6,1.084,-0.29,51.2,3.01,1.24
2024,cond1,Buy,0,0.0,,,,,,,1.54,2.29
2024,cond1,Sell,0,0.0,,,,,,,1.54,2.29
2024,cond2,Buy,16,6.7,-1.205,-1.4,37.5,0.57,1.03,56.2,1.54,2.29
2024,cond2,Sell,152,63.3,1.651,-0.92,55.3,2.085,-0.49,52.0,1.54,2.29
2024,cond3,Buy,80,33.3,0.332,-0.18,47.5,1.233,1.63,57.5,1.54,2.29
2024,cond3,Sell,95,39.6,1.782,-1.5,56.8,2.453,-0.84,54.7,1.54,2.29
2024,cond4,Buy,83,34.6,1.061,0.54,53.0,1.908,2.23,59.0,1.54,2.29
2024,cond4,Sell,89,37.1,0.988,-2.33,60.7,1.739,-1.86,58.4,1.54,2.29
2024,cond4_no_reports,Buy,32,13.3,0.151,1.02,53.1,1.446,2.68,62.5,1.54,2.29
2024,cond4_no_reports,Sell,121,50.4,1.69,-1.54,58.7,2.31,-0.73,53.7,1.54,2.29
2025,cond1,Buy,0,0.0,,,,,,,4.81,-0.07
2025,cond1,Sell,0,0.0,,,,,,,4.81,-0.07
2025,cond2,Buy,30,12.5,4.128,4.4,63.3,-0.811,-1.78,40.0,4.81,-0.07
2025,cond2,Sell,143,59.6,5.057,1.85,40.6,0.263,-2.07,59.4,4.81,-0.07
2025,cond3,Buy,93,38.8,4.46,1.07,54.8,-0.673,-3.06,37.6,4.81,-0.07
2025,cond3,Sell,81,33.8,3.98,1.75,39.5,-0.2,-2.07,55.6,4.81,-0.07
2025,cond4,Buy,97,40.4,5.884,3.08,58.8,0.894,-1.64,44.3,4.81,-0.07
2025,cond4,Sell,84,35.0,4.834,1.23,40.5,0.383,-2.67,56.0,4.81,-0.07
2025,cond4_no_reports,Buy,48,20.0,5.678,3.38,62.5,1.2,-0.81,47.9,4.81,-0.07
2025,cond4_no_reports,Sell,117,48.8,4.229,0.82,43.6,-0.036,-3.39,62.4,4.81,-0.07
