sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,72,5.168,65.3,1.523,3.136,58.3,1.2
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,4,2.3,50.0,0.689,0.817,25.0,0.337
반도체,cond2,Neutral,51,5.792,68.6,1.927,3.959,64.7,1.671
반도체,cond2,Sell,17,3.972,41.2,0.879,1.214,52.9,0.365
반도체,cond3,Buy,14,5.062,57.1,1.536,1.934,42.9,0.858
반도체,cond3,Neutral,40,6.878,72.5,1.89,5.089,67.5,1.8
반도체,cond3,Sell,18,1.451,44.4,0.522,-0.267,50.0,-0.125
반도체,cond4,Buy,18,5.0,61.1,1.372,2.291,50.0,0.828
반도체,cond4,Neutral,43,4.886,67.4,1.613,3.168,60.5,1.309
반도체,cond4,Sell,11,6.548,36.4,1.447,4.396,36.4,1.347
반도체,cond4_no_reports,Buy,11,6.538,63.6,1.871,3.33,54.5,1.245
반도체,cond4_no_reports,Neutral,37,4.797,67.6,1.5,3.011,56.8,1.251
반도체,cond4_no_reports,Sell,24,5.113,37.5,1.358,3.242,37.5,1.086
바이오,cond1,Buy,0,,,,,,
바이오,cond1,Neutral,108,4.413,57.4,0.852,2.599,48.1,0.508
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,1,8.746,100.0,,0.544,100.0,
바이오,cond2,Neutral,64,3.519,56.2,1.028,1.215,45.3,0.341
바이오,cond2,Sell,43,5.644,37.2,0.794,4.707,48.8,0.686
바이오,cond3,Buy,3,17.312,100.0,4.234,12.291,100.0,2.638
바이오,cond3,Neutral,58,2.697,58.6,0.838,0.667,43.1,0.192
바이오,cond3,Sell,47,5.708,42.6,0.828,4.365,48.9,0.658
바이오,cond4,Buy,5,8.213,80.0,1.723,3.617,60.0,0.763
바이오,cond4,Neutral,71,2.806,56.3,0.983,0.691,43.7,0.218
바이오,cond4,Sell,32,7.386,43.8,0.884,6.673,43.8,0.842
바이오,cond4_no_reports,Buy,0,,,,,,
바이오,cond4_no_reports,Neutral,69,3.832,59.4,1.261,1.366,46.4,0.415
바이오,cond4_no_reports,Sell,39,5.442,46.2,0.709,4.78,48.7,0.652
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,108,1.046,44.4,0.247,-0.768,40.7,-0.214
배터리,cond1,Sell,0,,,,,,
배터리,cond2,Buy,1,6.204,100.0,,8.842,100.0,
배터리,cond2,Neutral,46,3.014,50.0,0.694,1.219,45.7,0.316
배터리,cond2,Sell,61,-0.523,60.7,-0.126,-2.424,63.9,-0.725
배터리,cond3,Buy,4,-3.736,25.0,-1.696,-1.872,50.0,-0.802
배터리,cond3,Neutral,53,1.136,39.6,0.28,-1.022,30.2,-0.281
배터리,cond3,Sell,51,1.328,49.0,0.292,-0.417,49.0,-0.114
배터리,cond4,Buy,4,-4.303,0.0,-6.565,-5.295,25.0,-4.653
배터리,cond4,Neutral,49,0.919,40.8,0.222,-0.82,34.7,-0.217
배터리,cond4,Sell,55,1.549,49.1,0.347,-0.393,52.7,-0.111
배터리,cond4_no_reports,Buy,2,11.563,50.0,1.581,8.255,50.0,1.309
배터리,cond4_no_reports,Neutral,34,2.486,41.2,0.555,1.162,44.1,0.294
배터리,cond4_no_reports,Sell,72,0.074,54.2,0.018,-1.93,61.1,-0.578
자동차,cond1,Buy,0,,,,,,
자동차,cond1,Neutral,72,2.43,61.1,1.234,0.398,55.6,0.196
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,6,4.685,66.7,2.918,2.977,66.7,1.596
자동차,cond2,Neutral,62,2.012,59.7,0.991,0.012,54.8,0.006
자동차,cond2,Sell,4,5.522,25.0,4.416,2.51,50.0,0.999
자동차,cond3,Buy,24,2.948,66.7,1.562,1.568,70.8,0.997
자동차,cond3,Neutral,42,3.063,61.9,1.637,0.913,52.4,0.448
자동차,cond3,Sell,6,-4.074,66.7,-1.729,-7.886,83.3,-3.226
자동차,cond4,Buy,28,1.986,64.3,1.151,2.055,71.4,1.198
자동차,cond4,Neutral,39,2.852,61.5,1.312,-0.94,46.2,-0.434
자동차,cond4,Sell,5,1.626,60.0,0.867,1.557,60.0,0.643
자동차,cond4_no_reports,Buy,11,2.198,63.6,1.122,2.862,63.6,1.336
자동차,cond4_no_reports,Neutral,47,3.382,68.1,1.847,0.677,59.6,0.391
자동차,cond4_no_reports,Sell,14,-0.585,64.3,-0.254,-2.473,64.3,-0.913
금융,cond1,Buy,0,,,,,,
금융,cond1,Neutral,72,2.758,66.7,1.31,0.726,50.0,0.339
금융,cond1,Sell,0,,,,,,
