bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
2023,cond1,Buy,0,0.0,,,,,,,3.01,1.24
2023,cond1,Sell,0,0.0,,,,,,,3.01,1.24
2023,cond2,Buy,11,4.6,4.189,2.85,54.5,2.789,0.9,63.6,3.01,1.24
2023,cond2,Sell,86,35.8,4.613,3.61,38.4,1.919,0.84,47.7,3.01,1.24
2023,cond3,Buy,33,13.8,3.905,4.45,63.6,2.298,1.23,60.6,3.01,1.24
2023,cond3,Sell,80,33.3,4.232,2.77,37.5,1.759,1.0,46.2,3.01,1.24
2023,cond4,Buy,40,16.7,2.498,1.39,55.0,1.102,-0.37,47.5,3.01,1.24
2023,cond4,Sell,58,24.2,5.66,5.56,36.2,2.491,1.49,39.7,3.01,1.24
2023,cond4_no_reports,Buy,12,5.0,2.345,2.84,58.3,2.659,1.44,58.3,3.01,1.24
2023,cond4_no_reports,Sell,81,33.8,3.692,2.75,39.5,0.771,0.31,49.4,3.01,1.24
2024,cond1,Buy,0,0.0,,,,,,,1.54,2.29
2024,cond1,Sell,0,0.0,,,,,,,1.54,2.29
2024,cond2,Buy,4,1.7,0.702,1.45,50.0,2.021,4.73,75.0,1.54,2.29
2024,cond2,Sell,91,37.9,0.852,-2.11,61.5,1.341,-2.17,59.3,1.54,2.29
2024,cond3,Buy,23,9.6,0.868,2.0,60.9,2.645,4.53,78.3,1.54,2.29
2024,cond3,Sell,69,28.7,1.469,-1.4,58.0,2.212,-0.91,53.6,1.54,2.29
2024,cond4,Buy,34,14.2,0.126,0.68,55.9,1.736,2.71,70.6,1.54,2.29
2024,cond4,Sell,66,27.5,2.018,-1.45,57.6,2.932,-1.78,57.6,1.54,2.29
2024,cond4_no_reports,Buy,12,5.0,-0.652,1.2,58.3,1.478,4.42,66.7,1.54,2.29
2024,cond4_no_reports,Sell,100,41.7,1.228,-1.5,59.0,1.763,-1.77,56.0,1.54,2.29
2025,cond1,Buy,0,0.0,,,,,,,4.81,-0.07
2025,cond1,Sell,0,0.0,,,,,,,4.81,-0.07
2025,cond2,Buy,6,2.5,4.719,2.75,66.7,0.982,-1.71,33.3,4.81,-0.07
2025,cond2,Sell,98,40.8,4.569,1.7,41.8,-0.242,-3.45,63.3,4.81,-0.07
2025,cond3,Buy,31,12.9,3.763,2.29,58.1,-0.512,-2.03,41.9,4.81,-0.07
2025,cond3,Sell,76,31.7,3.487,0.53,46.1,-0.399,-2.54,60.5,4.81,-0.07
2025,cond4,Buy,41,17.1,4.105,1.75,56.1,-0.242,-2.03,41.5,4.81,-0.07
2025,cond4,Sell,64,26.7,4.085,1.04,46.9,0.081,-2.47,59.4,4.81,-0.07
2025,cond4_no_reports,Buy,20,8.3,7.639,5.0,65.0,3.459,1.07,50.0,4.81,-0.07
2025,cond4_no_reports,Sell,105,43.8,4.001,0.27,48.6,0.07,-4.13,61.0,4.81,-0.07
