label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Neutral,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,43.9,7.6
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,43.9,7.6
cond2,Buy,21,1.954,57.1,2.999,3.676,57.1,1.542,1.331,61.9,2.577,2.126,57.1,1.048,71.7,3.5
cond2,Neutral,424,0.65,52.1,0.81,2.94,56.6,0.931,0.168,48.6,0.233,1.231,49.8,0.407,62.1,2.4
cond2,Sell,275,1.653,41.8,1.538,3.353,47.3,0.705,0.583,52.4,0.612,0.958,57.1,0.22,77.4,3.9
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,68.2,8.0
cond3,Buy,87,0.777,54.0,1.101,3.051,60.9,1.165,0.59,54.0,1.021,1.388,58.6,0.619,75.9,3.1
cond3,Neutral,408,0.891,53.7,1.045,3.126,54.9,0.913,0.214,47.3,0.281,1.093,45.3,0.334,62.7,2.6
cond3,Sell,225,1.511,44.9,1.401,3.133,46.7,0.652,0.537,51.1,0.556,1.169,53.3,0.265,77.5,3.7
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,68.9,7.8
cond4,Buy,115,0.424,54.8,0.547,2.369,55.7,0.815,0.318,49.6,0.521,0.81,52.2,0.315,77.6,3.6
cond4,Neutral,417,1.054,53.5,1.316,2.998,55.6,0.892,0.205,47.0,0.273,0.943,46.0,0.29,64.2,3.0
cond4,Sell,188,1.506,43.6,1.268,3.845,47.3,0.755,0.73,48.4,0.712,1.826,52.7,0.395,79.2,3.9
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,70.3,7.9
cond4_no_reports,Buy,44,0.56,59.1,0.674,3.934,61.4,1.373,0.591,50.0,1.081,2.701,56.8,1.122,76.4,3.0
cond4_no_reports,Neutral,390,0.928,54.4,1.224,3.155,57.4,1.01,0.215,49.2,0.299,1.192,48.7,0.398,63.7,2.8
cond4_no_reports,Sell,286,1.345,45.8,1.219,2.944,49.7,0.623,0.523,52.4,0.548,0.861,55.9,0.198,78.6,4.0
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,70.4,8.0
