ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond1,Buy,0,,,,,,
000660,SK하이닉스,코스피,반도체,cond1,Buy,0,,,,,,
005380,현대차,코스피,자동차,cond1,Buy,0,,,,,,
005930,삼성전자,코스피,반도체,cond1,Buy,0,,,,,,
006400,삼성SDI,코스피,배터리,cond1,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond1,Buy,0,,,,,,
034020,두산에너빌리티,코스피,기타,cond1,Buy,0,,,,,,
035420,네이버,코스피,IT플랫폼,cond1,Buy,0,,,,,,
035720,카카오,코스피,IT플랫폼,cond1,Buy,0,,,,,,
051910,LG화학,코스피,기타,cond1,Buy,0,,,,,,
055550,신한지주,코스피,금융,cond1,Buy,0,,,,,,
068270,셀트리온,코스피,바이오,cond1,Buy,0,,,,,,
105560,KB금융,코스피,금융,cond1,Buy,0,,,,,,
196170,알테오젠,코스닥,바이오,cond1,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond1,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond1,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond1,Buy,0,,,,,,
329180,HD현대중공업,코스피,기타,cond1,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond1,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond1,Buy,0,,,,,,
000270,기아,코스피,자동차,cond2,Buy,3,6.903,66.7,3.197,4.161,66.7,1.517
000660,SK하이닉스,코스피,반도체,cond2,Buy,2,-2.742,50.0,-1.817,-3.537,0.0,-5.905
005380,현대차,코스피,자동차,cond2,Buy,3,2.467,66.7,3.16,1.794,66.7,1.95
005930,삼성전자,코스피,반도체,cond2,Buy,2,7.342,50.0,1.527,5.17,50.0,1.544
006400,삼성SDI,코스피,배터리,cond2,Buy,0,,,,,,
012450,한화에어로스페이스,코스피,기타,cond2,Buy,2,6.35,100.0,5.798,4.363,100.0,3.16
034020,두산에너빌리티,코스피,기타,cond2,Buy,1,-2.344,0.0,,-5.188,0.0,
035420,네이버,코스피,IT플랫폼,cond2,Buy,1,-2.837,0.0,,-1.346,0.0,
035720,카카오,코스피,IT플랫폼,cond2,Buy,1,-5.104,0.0,,-3.061,0.0,
051910,LG화학,코스피,기타,cond2,Buy,1,-6.298,0.0,,-10.215,0.0,
055550,신한지주,코스피,금융,cond2,Buy,1,-0.14,0.0,,2.16,100.0,
068270,셀트리온,코스피,바이오,cond2,Buy,1,8.746,100.0,,0.544,100.0,
105560,KB금융,코스피,금융,cond2,Buy,1,2.852,100.0,,5.153,100.0,
196170,알테오젠,코스닥,바이오,cond2,Buy,0,,,,,,
207940,삼성바이오로직스,코스피,바이오,cond2,Buy,0,,,,,,
247540,에코프로비엠,코스닥,배터리,cond2,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond2,Buy,1,26.11,100.0,,17.909,100.0,
329180,HD현대중공업,코스피,기타,cond2,Buy,0,,,,,,
352820,HYBE,코스피,기타,cond2,Buy,0,,,,,,
373220,LG에너지솔루션,코스피,배터리,cond2,Buy,1,6.204,100.0,,8.842,100.0,
000270,기아,코스피,자동차,cond3,Buy,10,4.451,70.0,2.857,3.249,80.0,2.104
000660,SK하이닉스,코스피,반도체,cond3,Buy,6,11.035,83.3,2.939,6.081,66.7,2.62
005380,현대차,코스피,자동차,cond3,Buy,14,1.876,64.3,0.895,0.367,64.3,0.235
005930,삼성전자,코스피,반도체,cond3,Buy,8,0.583,37.5,0.241,-1.176,25.0,-0.626
