bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
상승,cond1,Buy,0,0.0,,,,,,,5.83,1.12
상승,cond1,Sell,0,0.0,,,,,,,5.83,1.12
상승,cond2,Buy,10,2.2,6.873,6.6,70.0,1.29,-0.42,50.0,5.83,1.12
상승,cond2,Sell,185,40.0,6.954,3.7,34.6,1.792,-1.24,54.6,5.83,1.12
상승,cond3,Buy,51,11.0,5.779,4.63,70.6,1.212,1.76,56.9,5.83,1.12
상승,cond3,Sell,142,30.7,7.402,4.37,32.4,2.338,-0.0,50.0,5.83,1.12
상승,cond4,Buy,70,15.2,4.496,2.67,60.0,0.251,-0.97,45.7,5.83,1.12
상승,cond4,Sell,118,25.5,8.295,6.02,34.7,3.002,0.54,48.3,5.83,1.12
상승,cond4_no_reports,Buy,24,5.2,7.214,5.0,66.7,2.987,1.44,54.2,5.83,1.12
상승,cond4_no_reports,Sell,189,40.9,6.35,3.52,39.2,1.582,-1.26,54.0,5.83,1.12
하락,cond1,Buy,0,0.0,,,,,,,-1.73,1.22
하락,cond1,Sell,0,0.0,,,,,,,-1.73,1.22
하락,cond2,Buy,11,4.3,0.77,-0.14,45.5,2.887,2.16,63.6,-1.73,1.22
하락,cond2,Sell,90,34.9,-4.051,-5.45,73.3,-0.757,-2.72,62.2,-1.73,1.22
하락,cond3,Buy,36,14.0,-0.813,-0.9,47.2,1.638,2.54,61.1,-1.73,1.22
하락,cond3,Sell,83,32.2,-4.17,-4.78,71.1,-0.831,-2.45,59.0,-1.73,1.22
하락,cond4,Buy,45,17.4,-0.938,-0.7,48.9,1.68,2.23,62.2,-1.73,1.22
하락,cond4,Sell,70,27.1,-3.656,-5.66,68.6,-0.157,-2.89,60.0,-1.73,1.22
하락,cond4_no_reports,Buy,20,7.8,-0.002,1.2,55.0,2.357,4.42,60.0,-1.73,1.22
하락,cond4_no_reports,Sell,97,37.6,-3.693,-5.58,70.1,-0.546,-2.87,59.8,-1.73,1.22
