label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2985,,,,1.988,48.6,0.576,,,,-0.028,42.0,-0.009,,
GoldenCross,Buy,510,,,,2.202,50.4,0.545,,,,0.289,46.3,0.078,,
cond1,Buy,318,1.198,52.8,1.217,4.756,61.0,1.07,0.5,51.3,0.549,2.926,53.8,0.686,75.5,2.3
cond1,Neutral,402,0.971,54.5,1.135,1.824,50.0,0.567,0.249,46.5,0.345,-0.251,42.3,-0.088,55.9,1.9
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,64.6,10.0
cond2,Buy,227,0.963,53.3,1.007,3.19,53.3,0.794,0.359,50.7,0.393,1.644,46.7,0.429,75.0,0.0
cond2,Neutral,491,1.112,53.8,1.241,3.057,55.4,0.816,0.348,47.7,0.459,0.921,47.7,0.267,56.8,2.5
cond2,Sell,2,3.363,0.0,46.838,10.241,0.0,27.599,3.401,50.0,2.678,2.237,50.0,1.335,75.0,0.0
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,62.6,8.7
cond3,Buy,438,0.708,52.5,0.797,2.784,55.5,0.808,0.14,47.7,0.176,0.904,47.3,0.275,77.0,3.9
cond3,Neutral,264,1.519,55.7,1.626,3.739,53.4,0.84,0.609,49.2,0.754,1.634,46.6,0.405,59.5,3.8
cond3,Sell,18,3.356,38.9,2.913,2.167,38.9,0.873,2.066,38.9,1.822,0.14,38.9,0.052,75.0,0.0
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,70.5,9.2
cond4,Buy,433,0.8,53.8,0.938,2.818,54.5,0.804,0.148,48.7,0.189,1.007,47.3,0.309,76.8,3.7
cond4,Neutral,259,1.11,51.7,1.141,3.068,54.1,0.72,0.425,46.3,0.515,0.98,45.2,0.243,59.9,3.4
cond4,Sell,28,4.902,25.0,4.439,8.246,32.1,1.98,3.05,32.1,2.915,4.991,32.1,1.498,75.0,0.0
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,70.7,8.8
cond4_no_reports,Buy,250,0.794,53.2,0.86,2.768,53.2,0.787,0.162,49.6,0.186,0.973,48.8,0.292,75.5,2.1
cond4_no_reports,Neutral,440,1.09,53.2,1.207,3.098,55.2,0.782,0.404,48.0,0.528,1.246,46.6,0.337,58.8,3.0
cond4_no_reports,Sell,30,3.109,33.3,3.181,6.351,36.7,1.499,1.367,50.0,1.427,1.278,53.3,0.349,75.0,0.0
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,65.3,8.5
