bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
2023,cond1,Buy,7,2.9,4.229,5.87,71.4,1.907,0.9,57.1,3.01,1.24
2023,cond1,Sell,33,13.8,5.585,-0.27,51.5,3.635,0.87,48.5,3.01,1.24
2023,cond2,Buy,54,22.5,2.906,1.97,57.4,1.922,0.1,50.0,3.01,1.24
2023,cond2,Sell,145,60.4,3.18,1.25,42.1,1.135,-0.32,52.4,3.01,1.24
2023,cond3,Buy,99,41.2,2.375,1.85,59.6,1.015,-0.29,48.5,3.01,1.24
2023,cond3,Sell,108,45.0,4.177,1.39,39.8,2.084,-0.34,51.9,3.01,1.24
2023,cond4,Buy,97,40.4,1.73,1.85,59.8,0.284,-0.29,49.5,3.01,1.24
2023,cond4,Sell,127,52.9,4.242,1.25,42.5,2.158,-0.32,52.0,3.01,1.24
2023,cond4_no_reports,Buy,57,23.8,0.67,0.28,50.9,-0.458,-1.35,43.9,3.01,1.24
2023,cond4_no_reports,Sell,158,65.8,4.206,2.32,38.6,2.086,0.54,48.7,3.01,1.24
2024,cond1,Buy,10,4.2,14.814,9.58,60.0,14.686,6.73,70.0,1.54,2.29
2024,cond1,Sell,30,12.5,-0.326,-0.83,60.0,0.592,1.03,46.7,1.54,2.29
2024,cond2,Buy,61,25.4,2.384,2.84,62.3,3.253,3.81,60.7,1.54,2.29
2024,cond2,Sell,157,65.4,1.2,-1.02,58.6,1.843,-0.47,52.2,1.54,2.29
2024,cond3,Buy,109,45.4,1.641,0.66,55.0,2.456,1.91,60.6,1.54,2.29
2024,cond3,Sell,117,48.8,1.802,-0.93,57.3,2.453,-0.84,53.8,1.54,2.29
2024,cond4,Buy,119,49.6,1.565,0.54,52.9,2.242,1.75,59.7,1.54,2.29
2024,cond4,Sell,115,47.9,1.524,-0.97,58.3,2.24,-1.11,54.8,1.54,2.29
2024,cond4_no_reports,Buy,69,28.7,2.373,2.0,56.5,3.39,3.2,63.8,1.54,2.29
2024,cond4_no_reports,Sell,161,67.1,0.796,-1.02,59.6,1.489,-0.84,54.0,1.54,2.29
2025,cond1,Buy,5,2.1,2.449,3.26,60.0,-1.191,-3.91,40.0,4.81,-0.07
2025,cond1,Sell,27,11.2,6.387,7.56,37.0,2.556,3.69,40.7,4.81,-0.07
2025,cond2,Buy,49,20.4,4.212,2.27,53.1,0.012,-2.87,38.8,4.81,-0.07
2025,cond2,Sell,173,72.1,4.783,1.85,38.2,-0.282,-2.07,59.5,4.81,-0.07
2025,cond3,Buy,109,45.4,5.096,1.65,55.0,0.213,-2.87,40.4,4.81,-0.07
2025,cond3,Sell,112,46.7,4.737,2.48,35.7,-0.407,-1.88,58.9,4.81,-0.07
2025,cond4,Buy,109,45.4,5.463,1.75,57.8,0.496,-2.09,40.4,4.81,-0.07
2025,cond4,Sell,128,53.3,4.488,2.48,38.3,-0.417,-2.25,58.6,4.81,-0.07
2025,cond4_no_reports,Buy,60,25.0,3.737,0.87,50.0,-0.844,-4.0,40.0,4.81,-0.07
2025,cond4_no_reports,Sell,175,72.9,5.307,2.47,37.1,0.318,-1.92,58.9,4.81,-0.07
