ticker,name,market,sector,cond,n,mean,hit_rate,sharpe
000270,기아,코스피,자동차,cond1,36,2.52,61.1,1.285
000660,SK하이닉스,코스피,반도체,cond1,36,7.63,77.8,1.881
005380,현대차,코스피,자동차,cond1,36,2.34,61.1,1.114
005930,삼성전자,코스피,반도체,cond1,36,2.71,52.8,1.019
006400,삼성SDI,코스피,배터리,cond1,36,-0.8,44.4,-0.198
012450,한화에어로스페이스,코스피,기타,cond1,36,9.12,63.9,1.716
034020,두산에너빌리티,코스피,기타,cond1,36,5.84,63.9,1.229
035420,네이버,코스피,IT플랫폼,cond1,36,1.7,47.2,0.538
035720,카카오,코스피,IT플랫폼,cond1,36,1.63,47.2,0.454
051910,LG화학,코스피,기타,cond1,36,-0.27,38.9,-0.077
055550,신한지주,코스피,금융,cond1,36,2.68,58.3,1.192
068270,셀트리온,코스피,바이오,cond1,36,1.46,52.8,0.55
105560,KB금융,코스피,금융,cond1,36,2.83,75.0,1.354
196170,알테오젠,코스닥,바이오,cond1,36,10.23,66.7,1.216
207940,삼성바이오로직스,코스피,바이오,cond1,36,1.55,52.8,0.778
247540,에코프로비엠,코스닥,배터리,cond1,36,3.34,50.0,0.604
259960,크래프톤,코스피,기타,cond1,36,1.42,50.0,0.559
329180,HD현대중공업,코스피,기타,cond1,36,3.89,47.2,1.044
352820,HYBE,코스피,기타,cond1,36,1.96,47.2,0.497
373220,LG에너지솔루션,코스피,배터리,cond1,36,0.6,38.9,0.193
000270,기아,코스피,자동차,cond2,36,2.52,61.1,1.285
000660,SK하이닉스,코스피,반도체,cond2,36,7.63,77.8,1.881
005380,현대차,코스피,자동차,cond2,36,2.34,61.1,1.114
005930,삼성전자,코스피,반도체,cond2,36,2.71,52.8,1.019
006400,삼성SDI,코스피,배터리,cond2,36,-0.8,44.4,-0.198
012450,한화에어로스페이스,코스피,기타,cond2,36,9.12,63.9,1.716
034020,두산에너빌리티,코스피,기타,cond2,36,5.84,63.9,1.229
035420,네이버,코스피,IT플랫폼,cond2,36,1.7,47.2,0.538
035720,카카오,코스피,IT플랫폼,cond2,36,1.63,47.2,0.454
051910,LG화학,코스피,기타,cond2,36,-0.27,38.9,-0.077
055550,신한지주,코스피,금융,cond2,36,2.68,58.3,1.192
068270,셀트리온,코스피,바이오,cond2,36,1.46,52.8,0.55
105560,KB금융,코스피,금융,cond2,36,2.83,75.0,1.354
196170,알테오젠,코스닥,바이오,cond2,36,10.23,66.7,1.216
207940,삼성바이오로직스,코스피,바이오,cond2,36,1.55,52.8,0.778
247540,에코프로비엠,코스닥,배터리,cond2,36,3.34,50.0,0.604
259960,크래프톤,코스피,기타,cond2,36,1.42,50.0,0.559
329180,HD현대중공업,코스피,기타,cond2,36,3.89,47.2,1.044
352820,HYBE,코스피,기타,cond2,36,1.96,47.2,0.497
373220,LG에너지솔루션,코스피,배터리,cond2,36,0.6,38.9,0.193
