ticker,name,signal_date,price,per,pbr,roe,market_cap,signal,confidence,reasons,return_20d
005930,삼성전자,2023-01-02,53400,9.61,1.08,11.24,328539904671000,Neutral,50,"[""현재가 52주 최저가에 근접해 있어 기술적 반등 가능성이 있으나, 최근 1개월 수익률 하락 및 거래량 감소는 하방 압력을 시사합니다."", ""PER, PBR, ROE 등 재무지표는 양호한 편이나, 시장 전반의 불확실성과 거시 경제 상황이 주가 방향성에 큰 영향을 미칠 수 있습니다."", ""삼성전자는 대형주로서 시장 전반의 흐름을 따르는 경향이 강하므로, 20거래일 내 뚜렷한 시장 대비 상승 또는 하락을 예측하기 어렵습니다.""]",-0.9363295880149813
005930,삼성전자,2023-02-01,53400,10.7,1.2,11.21,365833623579600,Buy,75,"[""최근 1개월 수익률이 11.75%로 양호하며, 거래량 변화율도 47.34%로 증가 추세를 보여 매수세 유입 가능성이 있습니다."", ""현재가 53,400원이 52주 최저가 52,600원에 근접하여 기술적 반등 가능성이 존재합니다."", ""PER 10.7, PBR 1.20, ROE 11.2% 등 재무 지표가 비교적 안정적인 수준으로, 시장 대비 하락보다는 상승 가능성에 무게를 둡니다.""]",-0.9363295880149813
005930,삼성전자,2023-03-02,53400,10.52,1.18,11.22,359913985657600,Neutral,40,"[""현재가(53,400원)가 52주 최저가(52,600원)에 근접하여 하방 경직성이 기대되지만, 52주 최고가(72,900원) 대비로는 여전히 높은 수준입니다."", ""최근 1개월 수익률(-0.33%)과 거래량 변화율(-18.98%)이 하락 추세를 시사하며, 이는 단기적인 매도 압력으로 작용할 수 있습니다."", ""PER, PBR, ROE 등 재무지표는 양호한 편이나, 기술적 지표에서 뚜렷한 상승 또는 하락 추세를 나타내지 않아 향후 20거래일 내 방향성 판단이 어렵습니다.""]",-0.9363295880149813
005930,삼성전자,2023-04-03,53400,7.83,1.05,13.41,373529152878200,Neutral,55,"[""PER이 7.8로 낮아 저평가 가능성이 있으나, 삼성전자의 경우 시장 상황에 따른 변동성이 큰 편입니다."", ""PBR이 1.05로 자산 가치 대비 적정 수준으로 판단되며, ROE 13.4%는 양호한 수준입니다."", ""52주 최고가 대비 현재 위치가 60.7%로 하락 추세가 지속될 가능성도 배제할 수 없으며, 최근 1개월 수익률과 거래량 변화율이 뚜렷한 방향성을 제시하지 못하고 있습니다.""]",-0.9363295880149813
005930,삼성전자,2023-05-02,53400,8.15,1.1,13.5,388920211475400,Buy,75,"[""삼성전자는 현재 52주 최저가 대비 높은 수준에 위치하며, 52주 최고가 대비 하락폭이 제한적입니다."", ""최근 1개월 수익률이 2.66%로 긍정적인 흐름을 보이고 있으며, 거래량 변화율도 18.24%로 증가 추세입니다."", ""PER 8.2, PBR 1.10, ROE 13.5% 등의 재무지표는 현재 주가가 기업 가치 대비 저평가되었을 가능성을 시사합니다.""]",-0.9363295880149813
005930,삼성전자,2023-06-01,53400,8.8,1.18,13.41,419702328669800,Neutral,60,"[""삼성전자는 52주 최고가 대비 현재 위치가 높아 추가 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률은 긍정적이지만, 거래량 변화율이 감소하고 있어 매수세가 약화될 가능성이 있습니다."", ""PER, PBR, ROE 등 재무지표는 안정적인 수준이나, 단기적인 시장 방향성을 명확하게 제시하기에는 부족합니다.""]",-0.9363295880149813
005930,삼성전자,2023-07-03,53400,9.06,1.22,13.47,432133568306000,Neutral,50,"[""현재가가 52주 최저가와 거의 동일한 수준에 위치하여 추가 하락보다는 반등 가능성이 존재합니다."", ""최근 1개월 수익률이 소폭 상승했으나, 거래량 변화율이 음수임을 감안할 때 상승 추세가 강하다고 보기 어렵습니다."", ""PER, PBR, ROE 등 재무지표는 양호한 편이나, 기술적 지표에서 뚜렷한 매수 또는 매도 신호를 찾기 어려워 보합세를 예상합니다.""]",-0.9363295880149813
005930,삼성전자,2023-08-01,53400,8.82,1.19,13.49,420886256254200,Neutral,50,"[""PER이 8.8로 낮아 저평가 가능성이 있으나, 52주 최저가에 근접한 현재 위치는 추가 하락 가능성을 시사합니다."", ""최근 1개월 수익률이 마이너스이고 거래량 변화율이 긍정적이지만, 이는 단기적인 변동성일 수 있어 추세 전환을 확신하기 어렵습니다."", ""ROE가 13.5%로 양호한 수준이지만, 현재 주가가 52주 최고가 대비 많이 하락한 상태이므로 향후 20거래일 내 뚜렷한 상승 또는 하락을 예측하기에는 불확실성이 존재합니다.""]",-0.9363295880149813
005930,삼성전자,2023-09-01,53400,8.81,1.18,13.39,420294292462000,Neutral,50,"[""삼성전자는 현재 52주 최저가에 근접한 가격에 거래되고 있어 기술적으로는 반등 가능성이 있으나, 최근 1개월 수익률이 낮고 거래량 변화율이 음수임을 감안하면 단기적인 상승 모멘텀은 약합니다."", ""PER 8.8배, PBR 1.18배, ROE 13.4%는 재무적으로는 안정적인 수준이지만, 시장 대비 압도적인 상승을 이끌 만한 강력한 재료는 현재 부각되지 않고 있습니다."", ""시가총액이 매우 크고 시장 전반의 흐름에 영향을 많이 받는 대형주 특성상, 20거래일이라는 단기적인 기간 동안 뚜렷한 시장 대비 상승 또는 하락을 예측하기는 어렵습니다.""]",-0.9363295880149813
005930,삼성전자,2023-10-04,53400,8.38,1.13,13.48,399575559735000,Neutral,50,"[""삼성전자의 PER은 8.4로 낮아 저평가 가능성이 있으나, PBR 1.13은 현재 시장에서 적정 가치를 받고 있음을 시사합니다."", ""ROE 13.5%는 양호한 수준이나, 52주 최고가 대비 현재 위치가 71.6%로 하락 추세에서 벗어나지 못하고 있습니다."", ""최근 1개월 수익률이 0.60%로 미미하고 거래량 변화율이 32.09%로 높지만, 이는 단기적인 변동성일 수 있어 20거래일 내 뚜렷한 상승 또는 하락 방향을 예측하기 어렵습니다.""]",-0.9363295880149813
